formid,C1  What is the **Gender** of your cooperative members? (Menene **Jinsi** na membobin haɗin gwiwar ku?),C2  What is the **Age** of your cooperative members? (Yaya adadi shekarun membobin kungiyan haɗin gwiwar ku?),D1  Which **State** is your cooperative's main location of Operation? (Wace **Jiha** ce babban wurin aikin haɗin gwiwar ku?),E2  Which **Major** business area does your cooperative operate? (Wane **babban yanki na kasuwanci** kungiyar ku ke gudanar da hadin gwiwar ku?),F1  What is the nature of your cooperative's members enterprises? (Yaya yanayin kasuwancin membobinku yake?),F2  Of the following crops which is the major crop grown by your members? (Wanne ne daga cikin wadannan amfanin gona ne membobi suka fi nomawa?),G1  Does your cooperative have elected excos? (Shin ƙungiyar haɗin gwiwar ku ta zaɓi shugabanni?),G21  Does your cooperative **own** an **active bank account**? (Shin haɗin gwiwar ku na da **asusun banki mai aiki**?),form/Location/Implementing_partner,form/generatedCooperativeuniqueid,completed_time,E1  Do you have any Joint business venture operated by the cooperative? (Ko kungiyar ku tana aikin hadin gwiwa?),username,received_on
0096153d-9970-454e-9489-7472d204a992,Both,Both,Jigawa,---,Producer/Processor,Rice,Yes,Yes,WOFAN,JahKSO18,04/02/2023 07:43,No,jah06,01/02/2023 08:17
bef32e19-4251-4f3a-84ef-a4eef3ad32cd,Male,Adult,Kano,Production,Producer,Maize,Yes,Yes,WOFAN,Tof2OI31,04/02/2023 08:27,Yes,tof21,02/02/2023 08:17
26636173-d956-48e0-bda5-70918f8b195f,Female,Both,Kaduna,Production,Processor,---,Yes,Yes,WOFAN,IkaNI347,04/02/2023 08:37,Yes,ika07,03/02/2023 08:17
eac30adc-f242-4a18-9d67-61bedd69887b,Both,Both,Kano,Production,Producer/Processor,Maize,Yes,Yes,WOFAN,GarULT04,04/02/2023 08:44,Yes,gmm32,04/02/2023 08:17
8c914cd3-87ef-409c-a34c-5349b236e385,Male,Both,Kano,---,Producer,Rice,Yes,Yes,WOFAN,BebO6647,04/02/2023 08:44,No,beb23,05/02/2023 08:17
363e8b79-eed9-4a78-9085-da6093088e84,Female,Adult,Bauchi,Production,Producer,Sorghum,Yes,Yes,WOFAN,Taf8ZC12,04/02/2023 08:44,Yes,taf01,06/02/2023 09:00
f35b3cfe-4ba6-40ee-ac5b-2472296e96fe,Female,Youth,Kano,Production,Producer/Processor,Rice,Yes,Yes,WOFAN,Gar8TE24,04/02/2023 08:47,Yes,gmm22,07/02/2023 09:12
5b0dbcf3-83a1-42df-8513-bc703a0dea4f,Female,Both,Nasarawa,Processing,Producer/Processor,Rice,Yes,Yes,PVNL,ObiI8525,04/02/2023 08:49,Yes,obi05,08/02/2023 09:13
c3e1e1d1-2ac7-4a10-bd1d-ef74e7029176,Female,Both,Kaduna,---,Producer,Rice,Yes,Yes,PVNL,Zan8MR01,04/02/2023 08:54,No,zan01,09/02/2023 09:30
7d391645-9318-4467-acdc-f38e5d9ec9ad,Female,Youth,Kaduna,Agro-Input_Dealer,Producer,Sorghum,Yes,Yes,PVNL,ZanWMF22,04/02/2023 08:59,Yes,zan08,19/02/2023 09:30
c44e7354-1935-4386-a976-7fd7cb204c4a,Female,Both,Kaduna,---,Producer/Processor,Maize,Yes,Yes,PVNL,ChiC4U07,04/02/2023 07:43,No,chk09,10/02/2023 09:34
61d2a1fc-90be-45a7-9e5e-834ee0b5177e,Female,Adult,Nasarawa,Production,Producer/Processor,Maize,Yes,No,PVNL,Obi6U548,04/02/2023 08:31,Yes,obi07,11/02/2023 09:34
80f6b5bd-a27d-41f2-a6eb-3740880606c9,Both,Both,Kano,Processing,Processor,---,Yes,Yes,WOFAN,BebZUG33,04/02/2023 09:03,Yes,beb31,13/02/2023 09:33
cb0b1b18-04f6-4c48-9188-49706084ea14,Female,Adult,Bauchi,Production,Producer,Sorghum,Yes,Yes,WOFAN,TafBK112,04/02/2023 09:05,Yes,taf01,14/02/2023 09:34
23263f35-5096-4ef5-9475-c683ad8032cd,Female,Adult,Gombe,Production,Processor,---,Yes,Yes,WOFAN,KwaF0F08,04/02/2023 09:00,Yes,kwa06,15/02/2023 09:35
316ee5ae-85b7-460f-b713-4a7077f2fe8e,Male,Both,Jigawa,Processing,Producer/Processor,Rice,Yes,No,WOFAN,TauV6M49,04/02/2023 08:52,Yes,tau09,16/02/2023 09:37
3e468182-c820-4ec1-ba8d-e5810cf00f99,Both,Both,Kano,Processing,Producer/Processor,Maize,Yes,Yes,WOFAN,GarPBU39,04/02/2023 09:18,Yes,gmm37,17/02/2023 09:26
3106b3b0-6e74-4a8f-bf76-1f46325fc852,Female,Both,Kano,Processing,Processor,---,Yes,Yes,WOFAN,BebEMW00,04/02/2023 09:24,Yes,beb02,18/02/2023 08:56
3a81f08e-2863-47db-a0b0-597263558f08,Female,Both,Kaduna,Production,Producer/Processor,Maize,Yes,No,PVNL,Chi73046,04/02/2023 09:27,Yes,chk06,04/02/2023 09:41
