formid,CoopGender,CoopAgeGroup,CoopState,CoopLGA,CoopOperateJointVenture,CoopMajorBizArea,MajorCropGrownByCoop,MajorCommodityProcessedByCoop,MajorCommodityMarketedByCoop,Have_elected _excos,Have_active_bank_account,Implementing_partner,State-IP,GenCooperativeUniqueID,completed_time,started_time,username,received_on,NatureOfCoopMember,Type_of_Location
b9caca45-a9e1-4eb3-8b78-bd2116d906e2,Female,Youth,Jigawa,Jahun,Yes,Production,Rice,---,---,Yes,Yes,WOFAN,Jigawa-WOFAN,JahWD7W47,02/01/2024 00:09,01/01/2024 23:46,jah42,02/01/2024 00:09,Producers,Rural
80ded980-4bf8-4b53-abd5-94cf32ec6809,Female,Youth,Jigawa,Ringim,Yes,Production,Rice,---,---,Yes,Yes,WOFAN,Jigawa-WOFAN,RinAIU118,02/01/2024 05:35,26/12/2023 15:13,rin15,02/01/2024 05:35,Producers,Peri_urban
caf3faf1-8ec2-4f6b-96c8-7fde3c2f1294,Female,Youth,Jigawa,Ringim,Yes,Production,Maize,---,---,Yes,Yes,WOFAN,Jigawa-WOFAN,Rin816A54,02/01/2024 05:57,02/01/2024 05:24,rin24,02/01/2024 05:58,Processors,Rural
352cffca-341d-4440-b3de-0526dceb04e6,Female,Youth,Kano,Bagwai,Yes,Production,Maize,---,---,Yes,Yes,WOFAN,Kano-WOFAN,BagP1AC05,02/01/2024 06:04,02/01/2024 05:45,bag01,02/01/2024 06:04,Producers/Processors,Rural
07497b60-68bd-4193-b075-3ac734d7f995,Female,Youth,Jigawa,Ringim,Yes,Production,Rice,---,---,Yes,Yes,WOFAN,Jigawa-WOFAN,RinWRC228,02/01/2024 06:14,02/01/2024 06:06,rin14,02/01/2024 06:14,Producers,Rural
4b56e48f-8582-4da9-91f3-b02c1fd204f8,Female,Youth,Bauchi,Ganjuwa,No,---,---,---,---,Yes,Yes,WOFAN,Bauchi-WOFAN,GanFC2146,01/01/2024 19:55,01/01/2024 19:22,gan08,02/01/2024 08:10,Producers,Rural
1571ab53-1bc1-4564-a8cf-b9d711f0cca6,Female,Youth,Bauchi,Ganjuwa,Yes,Production,Rice,---,---,Yes,No,WOFAN,Bauchi-WOFAN,GanC62P16,02/01/2024 08:21,02/01/2024 08:11,gan08,02/01/2024 08:22,Producers/Processors,Rural
1e29183c-e0aa-4edc-a0fa-81bd57fd6392,Female,Youth,Kaduna,Ikara,Yes,Processing,---,Groundnut,---,Yes,Yes,WOFAN,Kaduna-WOFAN,Ika9P6959,28/12/2023 11:34,28/12/2023 11:03,ika36,02/01/2024 09:19,Producers/Processors,Rural
cfc95c4a-6b1b-493e-8db0-e27af1d9d321,Female,Youth,Gombe,Akko,Yes,Production,Maize,---,---,Yes,No,WOFAN,Gombe-WOFAN,AkkHF4O13,02/01/2024 09:26,02/01/2024 08:59,akk01,02/01/2024 09:26,Producers,Rural
fa98f011-ea6b-4be5-80df-26c9b2ae9b4b,Female,Youth,Gombe,Shongom,Yes,Production,Rice,---,---,Yes,No,WOFAN,Gombe-WOFAN,ShoZG0L34,02/01/2024 09:35,02/01/2024 08:58,sha01,02/01/2024 09:36,Producers,Peri_urban
f9b16b74-1cc1-467a-a468-ee832898aa28,Female,Youth,Jigawa,Jahun,No,---,---,---,---,No,No,WOFAN,Jigawa-WOFAN,Jah1BWU08,02/01/2024 09:35,02/01/2024 09:30,jah71,02/01/2024 09:53,Processors,Rural
ec68653a-1363-49f4-812c-c2eb05bea378,Female,Youth,Gombe,Shongom,Yes,Processing,---,Groundnut,---,Yes,Yes,WOFAN,Gombe-WOFAN,ShoSIIU10,02/01/2024 10:00,02/01/2024 09:35,sha01,02/01/2024 10:00,Producers/Processors,Peri_urban
