formid,Training_Date,Training_Title,EW_ID,Gender,Gender_and_Age,Disability_Status_class,State,LGA
5dd6668e-a30f-4d22-895d-8ee40533a08e,2023-12-17,Comm._Partner_Registration,Bag01,Female,Female Youth,No disability,Kano,Bagwai
b9bca0a7-27fa-465e-b066-622f6ac8b806,2023-12-17,Comm._Partner_Registration,Bag02,Female,Female Youth,No disability,Kano,Bagwai
ba72a40d-29cb-4189-8250-cb022ef3dc11,2023-12-17,Comm._Partner_Registration,Bag03,Male,Male Youth,No disability,Kano,Bagwai
3009aeed-683f-42db-8dca-c87b6eb89442,2023-12-17,Comm._Partner_Registration,Bag04,Male,Male Youth,No disability,Kano,Bagwai
e6e30711-cecb-46bf-a32f-44f497b851dd,2023-12-17,Comm._Partner_Registration,Bag05,Male,Male Youth,No disability,Kano,Bagwai
f486a838-930d-4da1-9dcc-2b8d821609c7,2023-11-23,Comm._Partner_Registration,Aba01,Female,Female Youth,No disability,FCT,Abaji_Area_Council
529a011b-acc3-4957-a1f2-0fa7196abc76,2023-12-18,"Group_formation,_and_dynamics_for_financial_inclusion",Aba01,Female,Female Youth,No disability,FCT,Abaji_Area_Council
736c50c8-d190-4b35-9fd7-e5d1d6cc8145,2023-12-19,GAP_&_crop_management,Aba01,Female,Female Youth,No disability,FCT,Abaji_Area_Council
b5c9e688-6022-46ab-a127-e1e81ed92b4a,2023-11-23,Comm._Partner_Registration,Aba02,Male,Male Youth,No disability,FCT,Abaji_Area_Council
d95c9062-f036-44f9-a0ce-c681b8928e1a,2023-12-18,"Group_formation,_and_dynamics_for_financial_inclusion",Aba02,Male,Male Youth,No disability,FCT,Abaji_Area_Council
83f10310-bda7-4729-9767-fde69758b03d,2023-12-19,GAP_&_crop_management,Aba02,Male,Male Youth,No disability,FCT,Abaji_Area_Council
ee9a836f-74a9-4f9a-9cf9-38a4ba7708bd,2023-11-23,Comm._Partner_Registration,Aba03,Male,Male Youth,No disability,FCT,Abaji_Area_Council
34a7208c-0b8f-4b64-8510-289d629faf9c,2023-12-18,"Group_formation,_and_dynamics_for_financial_inclusion",Aba03,Male,Male Youth,No disability,FCT,Abaji_Area_Council
8c73eb53-0bd5-48fd-8669-72eeb96805e2,2024-01-19,GAP_&_crop_management,Aba03,Male,Male Youth,No disability,FCT,Abaji_Area_Council
4b174ed0-d30c-43d2-a258-0d47d1168363,2023-11-23,Comm._Partner_Registration,Aba04,Female,Female Youth,No disability,FCT,Abaji_Area_Council
9580bfb8-217f-44d7-aaaa-a52108ca3637,2023-12-18,"Group_formation,_and_dynamics_for_financial_inclusion",Aba04,Female,Female Youth,No disability,FCT,Abaji_Area_Council
9b1d8895-0ce7-4b7a-8bb0-235f525ffc0b,2024-01-19,GAP_&_crop_management,Aba04,Female,Female Youth,No disability,FCT,Abaji_Area_Council
506ceb8b-8ee1-4bed-bf40-aa19a4976386,2023-11-23,"Group_formation,_and_dynamics_for_financial_inclusion",Aba05,Male,Male Youth,No disability,FCT,Abaji_Area_Council
c07f54c0-8316-4e26-8ed0-06ef4927bd77,2024-01-19,GAP_&_crop_management,Aba05,Male,Male Youth,No disability,FCT,Abaji_Area_Council
de5487ac-ea61-433b-895d-286803d3efa1,2023-11-23,Comm._Partner_Registration,Gwa17,Male,Male Youth,No disability,FCT,Bwari_Area_Council
e779c883-6365-4c2b-a5da-44f1206858cc,2024-01-18,"Group_formation,_and_dynamics_for_financial_inclusion",Gwa17,Male,Male Youth,No disability,FCT,Bwari_Area_Council
9d258713-b722-4011-b53b-68e158123e65,2023-12-19,GAP_&_crop_management,Gwa17,Male,Male Youth,No disability,FCT,Bwari_Area_Council
3a66d3d1-0611-4d71-b0c9-1da0a706966c,2023-11-23,Comm._Partner_Registration,Gwa18,Male,Male Youth,No disability,FCT,Gwagwalada_Area_Council
8638350c-f93b-4d91-92f8-5cb599865f91,2023-12-18,"Group_formation,_and_dynamics_for_financial_inclusion",Gwa18,Male,Male Youth,No disability,FCT,Gwagwalada_Area_Council
bf151e1a-b7e1-47ea-a5d5-e9706e787815,2023-12-19,GAP_&_crop_management,Gwa18,Male,Male Youth,No disability,FCT,Gwagwalada_Area_Council
b5bfb1d8-54d3-42ac-92c3-aea53caeb94a,2023-11-23,Comm._Partner_Registration,Gwa19,Female,Female Youth,No disability,FCT,Gwagwalada_Area_Council
