formid,Type of Financial Product/Service Accessed,2  Did your cooperative facilitate access to this (____) financial Product/Service?,Date,4  Has your cooperative ever given you access to the following business development support services? | None,4  Has your cooperative ever given you access to the following business development support services? | Training_in_microenterprise_management,4  Has your cooperative ever given you access to the following business development support services? | Preparing_bankable_business_plans,4  Has your cooperative ever given you access to the following business development support services? | Business_planning_and_strategy,4  Has your cooperative ever given you access to the following business development support services? | Export_assistance,4  Has your cooperative ever given you access to the following business development support services? | Financial_management,4  Has your cooperative ever given you access to the following business development support services? | Marketing_and_advertising,4  Has your cooperative ever given you access to the following business development support services? | Personnel_administration,4  Has your cooperative ever given you access to the following business development support services? | Sales_and_customer_service,4  Has your cooperative ever given you access to the following business development support services? | Others,4  Has your cooperative ever given you access to the following business development support services? | extra,5  Has your cooperative ever facilitated access to market opportunities for its members?,Comm_Partner_ID,State,Cooperative_ID,username
c10a20b5-1679-4595-8804-47f3952d3e33,Deposit_Account,Yes,2024-08-18,,1,1,1,,1,1,,1,,,Yes,,Kano,,kur02
96da067a-47f0-4d04-b811-0d0e3783d4c1,Deposit_Account,Yes,2024-08-20,,1,1,1,,1,1,,1,,,Yes,,Jigawa,,jah84
4abcd64b-2e13-4104-a7c1-de240c8c08e7,Deposit_Account,Yes,2024-07-12,,1,1,1,,1,1,1,1,,,Yes,,Bauchi,,bau13
2275e6c1-b5ab-4b1f-8c44-ce619ed40f61,Deposit_Account,Yes,2024-08-21,,1,1,1,,1,1,1,1,,,Yes,,Bauchi,,bau14
6e27d950-3d41-4526-9d0c-ca4840ecf29f,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
6c3628a6-2d33-46f0-a879-47bac217cca4,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
d401798a-6544-456c-bf10-ba3d590b9bfd,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
3080867d-be1c-46ad-a5f4-1cbbaf7313ad,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
6bd9b717-1eca-406e-94ac-8abf2466aa7a,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
f36f1f97-0107-4050-90cd-66e329891107,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
492f52a7-c117-44d6-ba3f-f2f7edcf5469,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
bc6bb377-ddb0-4106-9e92-1ddebd820ad6,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
9f7daf7e-2c86-40d4-96ca-6fbfb2eaf51f,Deposit_Account,Yes,2024-08-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
98fc32cd-7b4a-41c1-abc5-63f9d6310222,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
c876b7d8-a727-41a1-8e57-1cddd9fc8db4,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
10917515-7ad2-45b2-876b-15bd527ecb89,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
