formid,Type of Financial Product/Service Accessed,Please Specify the  financial Product/Service,Date,4  Has your cooperative ever given you access to the following business development support services? | None,4  Has your cooperative ever given you access to the following business development support services? | Training_in_microenterprise_management,4  Has your cooperative ever given you access to the following business development support services? | Preparing_bankable_business_plans,4  Has your cooperative ever given you access to the following business development support services? | Business_planning_and_strategy,4  Has your cooperative ever given you access to the following business development support services? | Export_assistance,4  Has your cooperative ever given you access to the following business development support services? | Financial_management,4  Has your cooperative ever given you access to the following business development support services? | Marketing_and_advertising,4  Has your cooperative ever given you access to the following business development support services? | Personnel_administration,4  Has your cooperative ever given you access to the following business development support services? | Sales_and_customer_service,4  Has your cooperative ever given you access to the following business development support services? | Others,4  Has your cooperative ever given you access to the following business development support services? | extra,5  Has your cooperative ever facilitated access to market opportunities for its members?,6  Are you satisfied with the product/service?,Comm_Partner_ID,Disability_Status_class,State,Cooperative_ID,username
331fdfa7-0555-4d2e-a295-6aff47ff3488,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,,1,,,Yes,Yes,Bau005B6K55,Persons with disability,Bauchi,BauTRH844,bau15
1a38fd02-f6fb-4074-a866-f8a8eda36f61,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,Bau28WSAW36,Persons with disability,Bauchi,BauGR1T14,bau15
c7c3aa0f-92dd-4d74-82c5-d0757b070149,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauBE7M8P12,Persons with disability,Bauchi,BauGR1T14,bau15
824a980f-eab0-4d4a-b9cf-68738ef60b4f,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauC5F54Z43,Persons with disability,Bauchi,BauGR1T14,bau15
8cec14f9-7dd3-4d33-ad05-5e2fe8832b67,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,Bau48U5HN34,Persons with disability,Bauchi,BauGR1T14,bau15
3cbcc589-e862-4074-972a-4788bc02d842,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,Bau581IKR34,Persons with disability,Bauchi,BauGR1T14,bau15
d4e1682e-3740-4162-92bd-da61b360367a,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,Bau6EEYAJ52,Persons with disability,Bauchi,BauGR1T14,bau15
63df39ab-4eae-41cb-8fdd-3f7ee1cfa4af,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauZHVNKZ47,Persons with disability,Bauchi,BauGR1T14,bau15
2e98c134-0b31-40ca-8018-ab85c757589e,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,,,,Yes,Yes,AkkGF4QPF04,Persons with disability,Gombe,AkkY4QX51,akk01
9ff68352-278c-4043-b36d-076d6ee56e75,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauYPHGN909,Persons with disability,Bauchi,BauGR1T14,bau15
2d376a2d-c19e-47f3-a444-9abc3cda29a2,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,,,,Yes,Yes,AkkNEXJ9B56,Persons with disability,Gombe,AkkY4QX51,akk01
dc736208-c2a4-4c49-a347-aa97459defaa,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,Bau0PUUXH45,Persons with disability,Bauchi,BauGR1T14,bau15
