formid,TypeofFinancialProduct/ServiceAccessed,Date,Cluster_Unique_ID,State,Implementing_Partner,username
8028c2df-8f13-41d8-a943-7f0c9b21799f,Deposit_Account,2024-06-16,AkkNVQV37,Gombe,WOFAN,akk01
249b7a3a-a698-483c-9be2-794e9b1c7d3a,Deposit_Account,2024-07-09,AkkV0BI47,Gombe,WOFAN,akk01
72a86b31-2e86-42d7-91ce-757f0dccd406,Deposit_Account,2024-07-09,Akk733313,Gombe,WOFAN,akk01
2bbdcd7f-35d2-4fd2-a605-f93708224c50,Deposit_Account,2024-07-09,AkkXBVT22,Gombe,WOFAN,akk01
b333979d-3179-4e24-8880-a59c40a56384,Deposit_Account,2024-07-25,AlkT06C29,Bauchi,WOFAN,bau12
0005d13a-9215-43da-8161-db71ba262459,Deposit_Account,2024-08-18,KurHX2C11,Kano,WOFAN,kur03
b45daeb4-be4d-4322-a0d9-61817d3b92a8,Deposit_Account,2024-07-25,AlkWVXG47,Bauchi,WOFAN,bau12
bc50e276-8008-4228-ae0e-c6efdc445f72,Deposit_Account,2024-07-25,AlkNUP624,Bauchi,WOFAN,bau12
0f504ea1-26dc-4725-9950-ecec94ef7508,Deposit_Account,2024-07-25,BauCR2H09,Bauchi,WOFAN,bau12
78a95925-12c3-4c31-9f35-f785aa4d1fb0,Deposit_Account,2024-07-25,BauHPGI27,Bauchi,WOFAN,bau12
5c2a4e03-eecd-4d93-b24d-049e4740927c,Deposit_Account,2024-07-25,Bau5H3W05,Bauchi,WOFAN,bau12
f468870a-19c5-41d0-aaf3-ab9ef6ff508e,Deposit_Account,2024-07-25,BauZPDN06,Bauchi,WOFAN,bau12
cfdb9e29-7aec-4736-8402-7940295b2f88,Deposit_Account,2024-07-25,DasEYB746,Bauchi,WOFAN,bau12
19166579-e0ca-4c04-9846-d6ad70372184,Deposit_Account,2024-07-25,GanIWIQ39,Bauchi,WOFAN,bau12
6b8edfc3-f2a4-47fa-93d6-3a57ad508932,Deposit_Account,2024-07-25,NinNTHH47,Bauchi,WOFAN,bau12
cfbf447e-0e81-4b6b-a3c3-0e243df3e2b9,Deposit_Account,2024-07-25,NinUD5G00,Bauchi,WOFAN,bau12
bd914300-d6e5-4b4b-a2fb-1ee46f6d6978,Deposit_Account,2024-07-25,TafLN0F48,Bauchi,WOFAN,bau12
29f9919d-26c4-4b76-885b-f8114ab8545f,Deposit_Account,2024-07-25,AlkB24541,Bauchi,WOFAN,bau12
d82bb519-9315-4caa-9e55-32f036ccd606,Deposit_Account,2024-07-25,BilUK7429,Gombe,WOFAN,bill02
b510efb4-329a-4d8c-919a-4b744e020440,Deposit_Account,2024-07-25,Bil49IY53,Gombe,WOFAN,bill02
e25dfeff-47bb-4e14-841e-9559a515d703,Deposit_Account,2024-07-25,BilDPZG44,Gombe,WOFAN,bill02
606e3f83-1bb0-4828-8e3b-1c8922c6bc98,Deposit_Account,2024-07-25,Bil97GO48,Gombe,WOFAN,bill02
e8cb47b7-e9a4-4d7a-a749-653803da8ed4,Deposit_Account,2024-07-10,GarSIBV21,Kano,WOFAN,bun02
a26756d8-3ebc-4353-a83f-0836acb484ce,Deposit_Account,2024-07-25,GarH0HK19,Kano,WOFAN,bun02
d2c9a0e3-45b6-4f1a-bd30-9afda5f551a8,Deposit_Account,2024-07-25,GarA6QB14,Kano,WOFAN,bun02
64d6c275-b5e8-45ca-84b3-3b3fc3eba761,Deposit_Account,2024-07-10,GarGH6S11,Kano,WOFAN,bun02
e09bfd00-007a-493c-bee1-94abb862efe3,Deposit_Account,2024-07-10,GarKDBP53,Kano,WOFAN,bun03
b941c896-3285-4a19-a300-47412f94de4f,Deposit_Account,2024-07-10,BunUXB418,Kano,WOFAN,bun03
2b53d326-1385-4827-8f0e-08c05c23a1c1,Deposit_Account,2024-07-10,BunY6P612,Kano,WOFAN,bun03
ec6b4b0c-3210-4b81-8700-40c32ca79dba,Deposit_Account,2024-07-10,Bun0O2U32,Kano,WOFAN,bun03
9500828d-02ba-4279-9d30-3cee548ec28e,Deposit_Account,2024-07-10,GarEVZM47,Kano,WOFAN,bun03
5a68d651-12a4-4be2-b44e-0b2291aabd17,Deposit_Account,2024-07-10,GarYJW058,Kano,WOFAN,bun07
112b25e5-aa4b-402b-9c0e-6f8a862a8db5,Deposit_Account,2024-07-10,Gar5J3M27,Kano,WOFAN,bun07
5a7a1a31-22a0-4422-b948-02ffbe3c737e,Deposit_Account,2024-07-10,GarYGMF11,Kano,WOFAN,bun07
90b1b100-9ede-4454-a5f8-07579b51f1a7,Deposit_Account,2024-07-10,BunTL4829,Kano,WOFAN,bun07
81fe6e27-70ae-462f-846a-27d65bb6b7fe,Deposit_Account,2024-07-10,GarQJKE22,Kano,WOFAN,bun18
dc8fd962-ea5e-40e9-abdb-6e6c4081863a,Deposit_Account,2024-07-10,Gar2S7121,Kano,WOFAN,gmm54
737a19a9-d75d-4503-a2fa-565032788afd,Deposit_Account,2024-07-10,GarV22S29,Kano,WOFAN,gmm54
79bb40a6-35b0-42b5-af71-1d3f71a6f29e,Deposit_Account,2024-07-10,KurSD7D45,Kano,WOFAN,gmm54
f748728e-88cb-4de4-b085-50938f63c3f2,Deposit_Account,2024-07-10,Gar7CV205,Kano,WOFAN,gmm61
6c8614da-f2c3-47c1-ae18-8db0b84e3237,Deposit_Account,2024-07-10,Gar03E531,Kano,WOFAN,gmm66
25a85b2a-996c-4630-8437-03f316a8e3a8,Deposit_Account,2024-07-10,GarU5TL19,Kano,WOFAN,gmm66
f74b653e-ab8d-4ee3-852d-ac746270b5c1,Deposit_Account,2024-07-10,GarWSWE06,Kano,WOFAN,gmm67
28ce5919-3038-4705-885a-50159d07a84c,Deposit_Account,2024-07-10,Gar2XRT18,Kano,WOFAN,gmm67
5f3a3ec1-f001-4258-92bf-4f76df148893,Deposit_Account,2024-07-10,GarT33B41,Kano,WOFAN,gmm67
762acfbd-4028-45f2-8f13-3659891bedf0,Deposit_Account,2024-07-10,GarW4NB00,Kano,WOFAN,gmm69
167b30ec-853a-43fd-a66b-84bf6fd18d21,Deposit_Account,2024-07-15,GomS0MF33,Gombe,WOFAN,gom25
b41168e8-4213-4da8-8594-b779cec059b7,Deposit_Account,2024-07-15,Gom5JTU58,Gombe,WOFAN,gom25
50fa178a-dde5-4711-a83e-cfd5fb1a0560,Deposit_Account,2024-07-19,GomL0HO23,Gombe,WOFAN,gom25
5a66ccae-cdef-4682-9028-c28c2ade4478,Deposit_Account,2024-07-09,IkaG9MU44,Kaduna,WOFAN,ika11
a43370fa-0992-4b6d-9920-c915eabfedef,Deposit_Account,2024-07-09,Ika28J354,Kaduna,WOFAN,ika11
4cae6207-1d37-4033-b1d8-090a123dbfd9,Deposit_Account,2024-07-09,IkaJBTF37,Kaduna,WOFAN,ika12
aa1f58c7-826a-4d7e-952d-f965e83b8ea7,Deposit_Account,2024-07-09,Ika25SB38,Kaduna,WOFAN,ika13
07938db7-38bc-43d0-a096-4a04ba1be53a,Deposit_Account,2024-07-09,IkaHVSD26,Kaduna,WOFAN,ika14
a5ad9564-66f8-4678-9615-82f723dc3b3a,Deposit_Account,2024-07-09,IkaSVAU46,Kaduna,WOFAN,ika14
a3bead8a-3ff9-4dbb-b147-cb9f3c97e861,Deposit_Account,2024-07-09,IkaEWDJ04,Kaduna,WOFAN,ika15
1e2234bf-d97e-455f-ad88-5008faaf529f,Deposit_Account,2024-07-09,IkaDWYQ02,Kaduna,WOFAN,ika19
3e7b948c-eec8-4eb1-8375-269b8a8fe18a,Deposit_Account,2024-07-09,IkaPL5248,Kaduna,WOFAN,ika16
c668d401-ea96-4b1f-9585-7920645ec3fc,Deposit_Account,2024-07-09,IkaXEHQ13,Kaduna,WOFAN,ika17
e5482e39-65a4-4745-a8ec-14b50d327736,Deposit_Account,2024-07-09,IkaZJ5M18,Kaduna,WOFAN,ika18
ddec1af0-3626-4efe-a354-5118738aad3f,Deposit_Account,2024-07-09,IkaI7E105,Kaduna,WOFAN,ika20
76a35029-4fe5-4029-a889-3cef7ff5b1e4,Deposit_Account,2024-07-09,IkaREEW34,Kaduna,WOFAN,ika22
b189faef-96ff-4072-8165-04f1cb2be67a,Deposit_Account,2024-07-09,Ika450J55,Kaduna,WOFAN,ika23
024f87e6-bae8-44b3-bda8-13e0ac2aba1a,Deposit_Account,2024-07-09,Ika9FIH59,Kaduna,WOFAN,ika24
b1b102ee-d452-49c3-913a-4b52eed9c67c,Deposit_Account,2024-07-09,Ika7TIW04,Kaduna,WOFAN,ika25
34c46ede-db2e-4756-9d6e-8ff0aeca984e,Deposit_Account,2024-07-09,Ika4LW717,Kaduna,WOFAN,ika25
