formid,Type of Financial Product/Service Accessed,Date,Cluster_Unique_ID,Implementing_Partner,username,State
7e5575b3-84ba-4926-bef1-5c418f44da63,Deposit_Account,2024-06-22,Akk0JG140,WOFAN,akk02,Gombe
ef819d59-674c-4bea-88f9-625a1c4fc114,Deposit_Account,2024-06-21,AkkTGQK44,WOFAN,akk02,Gombe
9bc5c9df-7656-4eff-92ec-63f39412b092,Deposit_Account,2024-07-21,Bil5BPF06,WOFAN,bill01,Gombe
1fef3a07-a9e4-4fcd-a8ca-44d879c57395,Deposit_Account,2024-07-22,BilFMWX11,WOFAN,bill01,Gombe
7e629ad8-220b-4a98-87dd-356ce5f6ea4f,Deposit_Account,2024-06-23,GarHTDY44,WOFAN,bun03,Kano
1a9e26fa-96a1-421d-a8b1-53d4d7f7708a,Deposit_Account,2024-06-23,GarUM3844,WOFAN,bun03,Kano
3200cd23-7d49-4704-af2e-ecc6f492d06e,Deposit_Account,2024-06-23,GarE72902,WOFAN,bun03,Kano
7c44c370-016f-41cb-aae2-a827bc785fd9,Deposit_Account,2024-06-23,Gar39V827,WOFAN,bun03,Kano
7c23974e-f328-4cfe-b510-0a8ce541fb75,Deposit_Account,2024-06-23,GarZ7HA24,WOFAN,bun03,Kano
7842b1eb-c475-4f65-b23c-96167d341546,Deposit_Account,2024-06-23,GarHI4F15,WOFAN,gmm48,Kano
c5f6accf-d5f4-42a7-9e4d-78a9e5f22096,Deposit_Account,2024-08-23,KurN3S106,WOFAN,gmm48,Kano
f540f902-872e-4c82-8af0-fa9248e2ab51,Deposit_Account,2024-07-23,GarUFK542,WOFAN,gmm48,Kano
323c1f60-56cc-4194-8cdb-5fcfd4c553c0,Deposit_Account,2024-07-22,JahRB1C22,WOFAN,jah39,Jigawa
f91d29f0-9b2c-4342-ab05-e38a67a2629d,Deposit_Account,2024-06-23,JahLJPX00,WOFAN,jah39,Jigawa
ad0bc43c-c34d-45f3-be8c-2329a4653a54,Deposit_Account,2024-06-23,JahV30012,WOFAN,jah39,Jigawa
0295dbbb-7740-4913-92b0-b1e36a91abda,Deposit_Account,2024-06-23,JahFLJA23,WOFAN,jah39,Jigawa
d5cde2db-0cbd-4e6b-a16f-b3ca9e1faa44,Deposit_Account,2024-06-23,JahZ6IH14,WOFAN,jah39,Jigawa
bfce55ab-1df9-4768-bedc-c85769e14880,Deposit_Account,2024-07-23,JahVTQS29,WOFAN,jah39,Jigawa
339710cf-e9ea-4181-905a-e00cdb43484f,Deposit_Account,2024-07-23,Jah8Q0D01,WOFAN,jah39,Jigawa
b89cdc7a-0447-4cd6-bada-db7179eaf4e2,Deposit_Account,2024-07-23,Jah4QCV06,WOFAN,jah39,Jigawa
5713a0b4-2355-4f16-9cb8-2bf919e8e353,Deposit_Account,2024-07-23,Jah1UIV48,WOFAN,jah39,Jigawa
c7312fb3-6c2a-4895-a931-5afb180f052d,Deposit_Account,2024-07-23,JahC14T34,WOFAN,jah39,Jigawa
cf2643f3-ba77-47c5-85f5-6f009fa1f115,Deposit_Account,2024-07-23,JahOQZS28,WOFAN,jah39,Jigawa
42b0502e-5a21-41cf-87f8-39d5bff71b12,Deposit_Account,2024-06-23,BebM8GS48,WOFAN,kir10,Kano
b8835896-c4f8-4ce0-8ca7-049a25e3fd83,Deposit_Account,2024-07-23,Kir4TZR59,WOFAN,kir10,Kano
4a366129-c312-4ff6-877f-0c159ec0ffe6,Deposit_Account,2024-07-23,BebX79521,WOFAN,kir10,Kano
9e54eac0-68b3-4f30-8c7d-80edbf47cc04,Deposit_Account,2024-07-23,Beb4QMC59,WOFAN,kir10,Kano
35b179f1-fe04-47c2-b329-9a2695c89961,Deposit_Account,2024-07-23,GarFX3V27,WOFAN,kur01,Kano
6d2141e2-99e8-4b63-ba45-fe43fe712144,Deposit_Account,2024-07-23,GarSMMG24,WOFAN,kur01,Kano
53f12152-291a-40a1-bf0b-2a7f603c009b,Deposit_Account,2024-07-23,Gar2A2V22,WOFAN,kur01,Kano
c483292a-e524-449e-8f4f-90aae5fbd079,Deposit_Account,2024-07-23,GarXKCG06,WOFAN,kur01,Kano
036e3716-3405-416b-b492-968b1fa3084d,Deposit_Account,2024-07-23,GarIVE018,WOFAN,kur01,Kano
d9be6746-d5f8-4e55-af12-cdcf15b653db,Deposit_Account,2024-07-23,Kur08N832,WOFAN,kur01,Kano
7358af86-16f9-417a-b093-88cf5a6f5273,Deposit_Account,2024-07-23,Kur6EYY09,WOFAN,kur01,Kano
3568636e-a6e9-4659-b9d3-93d5e4c9ab17,Deposit_Account,2024-07-25,RinEDWE56,WOFAN,rin20,Jigawa
c2772207-a468-463b-aaa4-fa1a5ff524b2,Deposit_Account,2024-07-25,Rin9RF301,WOFAN,rin20,Jigawa
450992d2-5643-4dda-b2d2-05d89de39ecc,Deposit_Account,2024-07-25,RinA0EQ19,WOFAN,rin20,Jigawa
60ccbf20-0d0b-499f-b01b-7a41756cbf3f,Deposit_Account,2024-07-26,Tau7WDW06,WOFAN,tau21,Jigawa
365294c1-031f-4e94-9046-5330849b34ea,Deposit_Account,2024-07-26,AlkPMDN01,WOFAN,bau12,Bauchi
354ed9d2-febe-4b9e-8d5b-0324b417a1af,Deposit_Account,2024-07-26,DasZV4147,WOFAN,bau12,Bauchi
8b1f8969-f49a-4220-beff-2d865e63a968,Deposit_Account,2024-07-26,TafDI9E06,WOFAN,bau12,Bauchi
34a784c5-4156-4e5e-81cd-12d4482e862d,Deposit_Account,2024-07-26,DasOR5451,WOFAN,bau12,Bauchi
06d92e38-7bfe-45cd-a3de-fce254752c37,Deposit_Account,2024-07-26,GanG8LN41,WOFAN,bau12,Bauchi
56dceacf-4752-49c4-aa8a-999db0def5d6,Deposit_Account,2024-07-23,Bau16PU10,WOFAN,bau12,Bauchi
1aaa4e92-1d7b-4143-8852-f4dc431a108b,Deposit_Account,2024-07-24,BauU99Y20,WOFAN,bau12,Bauchi
1a9ec012-0f9f-42a2-8e04-719507f1e7a5,Deposit_Account,2024-07-24,BauRCUD04,WOFAN,bau12,Bauchi
a90af5c5-7614-4ef1-839b-dbb7e77d1ff3,Deposit_Account,2024-07-30,TorVY3P26,WOFAN,bau12,Bauchi
304d43ad-c7d7-4e95-bf15-4ec00a6c2b0a,Deposit_Account,2024-07-27,NinWVBC19,WOFAN,bau12,Bauchi
e259ef3e-c815-4e8c-9a8c-575866ba125e,Deposit_Account,2024-07-25,WarD7P513,WOFAN,bau12,Bauchi
296c9cc7-0f3e-411e-abd3-3a6b166ffcb7,Deposit_Account,2024-07-26,BauWHZJ31,WOFAN,bau12,Bauchi
fd41dff8-7ee3-4a47-bfff-4fb88a739b3e,Deposit_Account,2024-07-26,BauD5XF30,WOFAN,bau12,Bauchi
80fdc443-8cc1-44b0-be25-4a7f431e7520,Deposit_Account,2024-07-25,BauUWTS04,WOFAN,bau12,Bauchi
071e0bb7-9d18-47e7-b098-1250e3869647,Deposit_Account,2024-07-29,TorZAJI57,WOFAN,bau12,Bauchi
338408d7-5fc3-467d-9c8e-7c77cd552a2a,Deposit_Account,2024-07-26,Kal057Z53,WOFAN,kal15,Gombe
335aa019-dc39-465e-8f23-ade5e4c46944,Deposit_Account,2024-07-26,KalD2I824,WOFAN,kal15,Gombe
6f7fca65-f7df-463d-9d46-983bb6590eea,Deposit_Account,2024-07-26,KalERQX12,WOFAN,kal15,Gombe
d715c224-0bc3-4bbf-9f26-80d2a5a5fc08,Deposit_Account,2024-07-26,Kal0JTF56,WOFAN,kal15,Gombe
8dbac65e-0767-4201-a9e5-8c960070782c,Deposit_Account,2024-07-26,GomESFW59,WOFAN,gom25,Gombe
db3bb51e-04e6-4822-8eaf-b44cccf5a5f0,Deposit_Account,2024-07-26,GomMO4Y06,WOFAN,gom25,Gombe
0869930a-c019-4c60-8a07-175c8392390b,Deposit_Account,2024-07-26,GomILPZ44,WOFAN,gom25,Gombe
6c8d2e2f-c2a6-457c-bc72-0e1105e23917,Deposit_Account,2024-07-26,ShoP2UA49,WOFAN,sha04,Gombe
f16664d4-882a-4c00-803a-2faf29b117b0,Deposit_Account,2024-07-26,Sho07MU47,WOFAN,sha04,Gombe
8cc65c5b-51c6-4139-a651-372010ab4279,Deposit_Account,2024-07-26,AbaPBQG29,WOFAN,aba03,FCT
bbb73926-bada-4a1a-bf5e-a4a1faf43d40,Deposit_Account,2024-07-26,AbaUXP510,WOFAN,aba03,FCT
008666db-9e29-42cb-bfd6-c1d16ced340e,Deposit_Account,2024-07-26,Aba6XA824,WOFAN,aba03,FCT
1aa74730-1317-4045-a91f-10bc73a75758,Deposit_Account,2024-07-26,AbaY3KI01,WOFAN,aba03,FCT
