formid,9   Equipment(s) given to the cooperative? | Tricycle_Transporter,9   Equipment(s) given to the cooperative? | Others,9   Equipment(s) given to the cooperative? | Tricycle_carriers,9   Equipment(s) given to the cooperative? | extra,Number of Tricycle Transporter,Date,State,Implementing_Partner
453e0bf6-b440-4e47-be20-9265ee4834e4,1,,,,---,2024-08-10,Bauchi,WOFAN
7687bb81-fbb9-436b-b4fb-0d5bdc61ac2d,1,,,,---,2024-08-11,Kano,WOFAN
d35956a9-646c-4dfa-bc19-c19f0ceca5ea,1,,,,---,2024-08-11,Kano,WOFAN
d52f5cd4-63a9-4857-b99b-9ad8d9463bfe,1,,,,---,2024-08-10,Gombe,WOFAN
654361b7-11a5-4a80-af53-ee1538166b4b,1,,,,---,2024-08-12,Kano,WOFAN
eb1723c5-c25f-40a4-9a59-ce65856c49d2,1,,,,---,2024-08-12,Kano,WOFAN
53effdfe-6203-44fe-af67-6dd4d17f6de5,1,,,,---,2024-08-12,Kano,WOFAN
2a026fa7-a4a5-458a-9696-96835a3e7fe9,1,,,,---,2024-08-10,Bauchi,WOFAN
3efe5110-c9db-47c8-bfb2-92233f1a62c6,1,,,,---,2024-08-12,Kano,WOFAN
41891222-49c4-4a25-b809-62e3fec9c186,1,,,,---,2024-08-11,Kano,WOFAN
af5b1739-d516-4d8d-8e65-dc3714c230e4,1,,,,---,2024-08-10,Bauchi,WOFAN
aa5d4001-3885-433c-94fb-21a0a23cc582,1,,,,---,2024-08-10,Bauchi,WOFAN
c57ff4be-f9ed-4b84-abba-9a379d7b1011,1,,,,---,2024-08-11,Kano,WOFAN
179f29e7-927c-4d36-95e2-6ffefc414934,1,,,,---,2024-08-10,Gombe,WOFAN
0d2038db-6bc2-4080-bf18-b99df72c4473,1,,,,---,2024-08-10,Gombe,WOFAN
d0858e08-c068-4a71-b661-b48144f4c3bf,1,,,,---,2024-08-10,Bauchi,WOFAN
81f0576e-c586-488c-8c13-5b93b36be508,1,,,,---,2024-08-10,Bauchi,WOFAN
40e74500-9187-4aa6-af36-c4f0ddd471ce,1,,,,---,2024-08-12,Bauchi,WOFAN
597dc294-b4ad-4742-909b-2a0cf0de42bf,1,,,,---,2024-08-10,Bauchi,WOFAN
b6c63900-4a2e-4ace-a245-e0280ebedecd,1,,,,---,2024-08-10,Bauchi,WOFAN
49c0073c-256d-4f2d-a9eb-9a22b57ee9db,1,,,,---,2024-08-10,Gombe,WOFAN
998d1868-7706-4553-8b2e-f106db43ae77,1,,,,---,2024-08-10,Gombe,WOFAN
523c871d-cb2a-492f-b179-dcf73a60dd69,1,,,,---,2024-08-12,Kano,WOFAN
c2ce6da8-436b-4df1-8975-6f7e4c9dff66,1,,,,---,2024-08-11,Kano,WOFAN
8ad073bc-fb6d-4355-a867-691d863e403d,1,,,,---,2024-08-10,Gombe,WOFAN
7264295c-3bed-41a0-9e08-d02adb995d85,1,,,,---,2024-08-12,Kano,WOFAN
59563b17-54d9-4c72-a9c7-56f649c3655d,1,,,,---,2024-08-10,Bauchi,WOFAN
3a63449a-39bd-4f0a-bd94-abcf3d67a496,1,,,,---,2024-08-12,Kano,WOFAN
d5f7344c-b218-4bf7-a5d6-7a7357604ebd,1,,,,---,2024-08-12,Kano,WOFAN
96c9780a-ebfd-40b3-b9b4-945ee538ee7a,1,,,,---,2024-08-10,Bauchi,WOFAN
46ad4ec6-cc69-4d01-9bd2-005203799cc0,1,,,,---,2024-08-12,Kano,WOFAN
032da06a-8910-4f80-ab12-2856139581bb,1,,,,---,2024-08-12,Kano,WOFAN
ef89d54a-b930-43a6-9914-d495efea1108,1,,,,---,2024-08-10,FCT,WOFAN
4759cde2-dfca-48b3-8584-f1f54cd0b228,1,,,,---,2024-08-10,Gombe,WOFAN
1d37cfeb-05c5-4721-ab5d-a35478dd09df,1,,,,---,2024-08-10,Gombe,WOFAN
e75a9b99-c7c1-4919-9deb-4592fd1c0ba0,1,,,,---,2024-08-10,Bauchi,WOFAN
cae86adb-a372-4387-82f8-2a9ff6acc107,1,,,,---,2024-08-09,FCT,WOFAN
e46033b8-11c5-41fc-853b-52ec36dd48ca,1,,,,---,2024-08-10,Bauchi,WOFAN
b785c466-bfad-4ede-923d-af28b0470baf,1,,,,---,2024-08-10,Gombe,WOFAN
08f1fe9b-33b0-4790-a7ad-415ccfc47e4a,1,,,,---,2024-08-11,Kano,WOFAN
72195cb1-e3c0-4bec-9239-5a6e0ae6e201,1,,,,---,2024-08-12,Kano,WOFAN
74fd16ad-ec6d-4c8d-84dc-7e570b48feb6,1,,,,---,2024-08-12,Kano,WOFAN
1efd05e5-3722-40cb-9f0e-9fb83e4e030c,1,,,,---,2024-08-09,FCT,WOFAN
c3376397-dc8c-4ffd-bebf-d0fe86b334ab,1,,,,---,2024-08-10,Bauchi,WOFAN
0b8b8213-a318-4662-abaf-2b9e825bc7fc,1,,,,---,2024-08-12,Kano,WOFAN
2382da13-c5a9-4f4f-b7eb-12106170d28c,1,,,,---,2024-08-10,Gombe,WOFAN
08887242-89e5-4e94-9a0c-20fc8dc39b74,1,,,,---,2024-08-10,Gombe,WOFAN
