formid,Equipmentsgiventothecluster | Modified_Motorbike_for_PWDs,Equipmentsgiventothecluster | Modified_Tricycle_for_PWDs_(Hand-driven),Equipmentsgiventothecluster | Micro_Portable_multi_sheller_and_maize_milling_appliances,Equipmentsgiventothecluster | Fabricated_stoves_with_chimney_2_sets,Equipmentsgiventothecluster | burner_base_(6_sets),Equipmentsgiventothecluster | Mini_rice_miller,Equipmentsgiventothecluster | Mini_Destoner,Equipmentsgiventothecluster | Others,Equipmentsgiventothecluster | extra,NumberofModifiedMotorbikeforPWDs,NumberofModifiedTricyclesforPWDsHand-driven,NumberOfMicroPortablemultishellerandmaizemillingappliances,NumberofFrabricated stoves with chimneys,Numberof FabricatedRiceparboilerspot/burnerbase,NumberofMiniRicemiller,NumberofMiniDestoner,Please Specify numberofothe equipment,Qty of Treadle pump,Qty of Fertilizer planter,Qty of Umbrella,Date,State,Implementing_Partner,Cluster_Unique_ID
ef701b8f-a879-4a81-86f7-6fca0056af8e,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-04,Kano,WOFAN,BebYO9M13
d7e7a205-f064-488a-a64e-68557fba777e,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-04,Gombe,WOFAN,AkkV0BI47
af5dada6-0877-4867-b311-240659694d23,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-04,Gombe,WOFAN,Akk733313
523bffa6-2764-4ab2-8b0a-c16d60cdcc9f,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-05,Gombe,WOFAN,AkkNVQV37
a728542d-e833-421e-bb2a-1d85568fc031,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-06,Gombe,WOFAN,AkkXBVT22
47c30e30-227c-44ae-b830-c12e2f0e6a28,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-24,Bauchi,WOFAN,AlkT06C29
325b7062-095c-4a61-acf0-fb76c4164463,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-24,Bauchi,WOFAN,AlkWVXG47
8a531ac3-f0db-45f6-9f36-799229509861,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-24,Bauchi,WOFAN,AlkNUP624
d935cd02-ff2b-4ad4-8349-3561f62fcd28,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-24,Bauchi,WOFAN,BauCR2H09
3a276170-3773-4be0-96fb-41b2d971eb7b,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-24,Bauchi,WOFAN,BauHPGI27
5bca2b1d-8e8c-4980-ad73-993adcd6f7a6,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-24,Bauchi,WOFAN,Bau5H3W05
0ffeb76f-2650-47d9-8300-57c88bcd3d9d,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-24,Bauchi,WOFAN,BauZPDN06
bf1cb050-09f6-47b8-aec1-229f5996f160,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-24,Bauchi,WOFAN,DasEYB746
474ba206-fc93-439f-8adb-65903c377e08,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-24,Bauchi,WOFAN,GanIWIQ39
7e6fd17e-5d97-4520-a67a-cc14be45c291,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,0,---,2024-07-24,Bauchi,WOFAN,NinNTHH47
c7e290c0-86f3-40f4-a53e-61d7f317a3f8,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-24,Bauchi,WOFAN,NinUD5G00
ffa497f9-5b23-4f1a-8705-b7d56f2d1dd2,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-24,Bauchi,WOFAN,TafLN0F48
e601f30c-0fab-4fb5-9af7-edcb5a93002a,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-24,Bauchi,WOFAN,AlkB24541
d2b63b0e-5e18-487a-a2f8-bfab3b1c512c,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-24,Gombe,WOFAN,BilUK7429
a4f7db62-fe99-4931-a5fd-04f95d6c1831,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-17,Gombe,WOFAN,Bil49IY53
de45ecb3-51e8-4171-877d-d315a9205c39,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-17,Gombe,WOFAN,BilDPZG44
6ed4207b-f8ed-4dd1-ad54-4a84ff05dfd0,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-17,Gombe,WOFAN,Bil97GO48
d75f47a8-cc76-42f9-8427-95d187f13fc6,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kano,WOFAN,GarSIBV21
3541d793-f2fb-454b-9112-c148d4bf7948,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kano,WOFAN,GarH0HK19
35b4abe2-3be5-4664-82f9-9d5c74297d2c,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kano,WOFAN,GarA6QB14
d1a3cf23-5a0c-4116-80df-7c79e5f3d7f5,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kano,WOFAN,GarGH6S11
4f40666b-8485-4202-a3ae-77a0b6bc757f,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kano,WOFAN,GarKDBP53
3f267d3b-32b8-45fa-9630-519f2d122944,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kano,WOFAN,BunUXB418
f243f41b-d9d7-41b8-a155-bbe5d5f444c8,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kano,WOFAN,BunY6P612
d6b4b252-cd36-4360-9f8c-4897ad0d8312,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kano,WOFAN,Bun0O2U32
e4a06427-76fb-4ec3-b1a2-617c6a9fd7ac,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kano,WOFAN,GarEVZM47
4e2f1ccd-1d45-40a1-b14f-0b1307b906c5,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kano,WOFAN,GarYJW058
fb53f60d-c065-4fe3-b93c-1e7fecb186ee,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kano,WOFAN,Gar5J3M27
02b1ad38-cac2-4f60-9ca8-4da5d6e0fabb,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kano,WOFAN,GarYGMF11
195e2ee2-6159-43a9-93a8-051eabf160ff,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kano,WOFAN,BunTL4829
699d433b-b927-45db-a23e-34159870e19c,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kano,WOFAN,GarQJKE22
92465ba6-839d-417c-a46f-d337d8db31e4,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kano,WOFAN,Gar2S7121
9012461d-68d4-4f87-a496-ef88285f98c6,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kano,WOFAN,GarV22S29
7c7a21f0-60c0-448f-97ec-c39fd623163c,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-08,Kano,WOFAN,KurSD7D45
a46eb16d-80e5-4a21-b6c1-ad2b222034af,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-08,Kano,WOFAN,Gar7CV205
ade45887-f089-4678-970f-218ea8ecddd1,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-08,Kano,WOFAN,Gar03E531
866b2f93-2461-4cd3-b53c-25f148ec63be,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-08,Kano,WOFAN,GarU5TL19
e5137023-5e16-430b-84ee-92e44f5a82da,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-08,Kano,WOFAN,GarWSWE06
18648cfe-5b16-45b2-9946-4a008108b95b,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-08,Kano,WOFAN,Gar2XRT18
fd8488fb-f48f-4ad0-acd3-95ffcf39e540,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-08,Kano,WOFAN,GarT33B41
0d70d8e3-1201-4ff2-bbb0-23330320d87f,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-08,Kano,WOFAN,GarW4NB00
3c0e2fec-00ff-4cd2-9f44-50f5cb0ad395,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-17,Gombe,WOFAN,GomS0MF33
b3b2bc03-f768-4757-b312-ff186a0ff091,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-17,Gombe,WOFAN,Gom5JTU58
7ddb3bcb-24c8-47db-bd2b-95cb06216670,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-17,Gombe,WOFAN,GomL0HO23
997f7f5a-dc2b-4ed1-964d-a8347cd3c4d2,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-05,Kaduna,WOFAN,IkaG9MU44
