formid,NameofInputDistributionCenter,farmingseason,Date,Cluster_Unique_ID,State,Implementing_Partner,form/Inputs_for_maize/NPK_bags_to_Kg_Maize,form/Inputs_for_maize/UREA_bags_to_Kg_Maize,form/inputs_for_rice/NPK_bags_to_Kg_Rice,form/inputs_for_rice/UREA_bags_to_Kg_Rice,form/inputs_for_groundnut/NPK_bags_to_Kg_Groundnut,form/inputs_for_groundnut/UREA_bags_to_Kg_Groundnut,form/inputs_for_sorghum/NPK_bags_to_Kg_Groundnut,form/inputs_for_sorghum/UREA_bags_to_Kg_Groundnut,form/Input_totals/Total_Maize_Seed,form/Input_totals/Total_Rice_Seed,form/Input_totals/Total_Groundnut_Seed,form/Input_totals/Total_Sorghum_Seed,form/Input_totals/Totak_NPK,form/Input_totals/Total_UREA,form/Input_totals/Total_Glyphosate_ForceUP,form/Input_totals/Total_Butachlor,form/Input_totals/Total_AgriForce,form/Input_totals/Total_LaraForce,form/Input_totals/Total_SAAF,form/Input_totals/Total_GuardForce,form/Input_totals/Total_Atrazine,form/Input_totals/Total_VInash,form/Input_totals/Total_Lambda,form/Input_totals/Total_Aflasafe,form/Input_totals/Total_NPK_to_Kg,form/Input_totals/TotalUREA_to_Kg,form/Input_totals/Total_Glyspring,form/Input_totals/Total_Rice_pro,form/Input_totals/Total_Cotrazine,form/Input_totals/Total_Vanguish,form/Input_totals/Total_Striker,form/Input_totals/Total_Buster,form/Input_totals/Total_Hallakat,username
697653a1-056b-4886-ba82-f2d15c4e6561,WOFAN Bauchi office,Wet_Season,2024-07-02,AlkT06C29,Bauchi,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,bau12
5c166c7e-70fa-422c-b860-a3f1118b8b51,WOFAN Bauchi office,Wet_Season,2024-07-02,AlkWVXG47,Bauchi,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,bau12
7dda3110-eefa-4cab-90d0-84700e5331b2,WOFAN Bauchi office,Wet_Season,2024-07-02,AlkNUP624,Bauchi,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,bau12
19cb651a-b1da-42c2-aa2c-62285cebd739,WOFAN Bauchi office,Wet_Season,2024-07-03,BauCR2H09,Bauchi,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,bau12
1c92884b-c72f-43dc-ad24-1c23e50922b9,WOFAN Bauchi office,Wet_Season,2024-07-03,BauHPGI27,Bauchi,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,bau12
fca9bb2c-d639-46f9-bbb8-20f832733934,WOFAN Bauchi office,Wet_Season,2024-07-03,Bau5H3W05,Bauchi,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,bau12
6522ed11-253b-442d-b5b7-4d619b9fbe67,WOFAN Bauchi office,Wet_Season,2024-07-03,BauZPDN06,Bauchi,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,bau12
438dae25-1318-4b39-865e-d4dd56ee5cec,WOFAN Bauchi office,Wet_Season,2024-07-03,DasEYB746,Bauchi,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,bau12
6a3505c2-aa45-4cf5-be8f-58327eef7b12,WOFAN Bauchi office,Wet_Season,2024-07-02,GanIWIQ39,Bauchi,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,bau12
9f89ed5b-94ae-4b61-8fea-d2ca55fcbfea,WOFAN Bauchi office,Wet_Season,2024-06-02,NinNTHH47,Bauchi,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,bau12
4ae0e4e8-db35-4138-a2a3-1fd4cd3cc0e8,WOFAN Bauchi office,Wet_Season,2024-07-02,NinUD5G00,Bauchi,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,bau12
2f271b40-20c4-4649-91e1-481806cab108,WOFAN Bauchi office,Wet_Season,2024-07-03,TafLN0F48,Bauchi,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,bau12
e0954e92-6b85-4b6f-b378-d2abf6c71325,WOFAN Bauchi office,Wet_Season,2024-07-04,AlkB24541,Bauchi,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,bau12
d60f4fff-5c18-46fc-bb13-838667b0b201,WOFAN office zaria,Wet_Season,2024-07-09,IkaPL5248,Kaduna,WOFAN,200,100,---,---,---,---,---,---,50,,,,4,2,2,0,0,2,1000,2,0,0,0,10,200,100,0,0,0,0,0,0,0,ika16
