formid,CoopGender,CoopAgeGroup,Natureofyourcooperativesmembersenterprises,State,LocationType,HaveElectedExco,Ownanactivebankaccount,Registration_Date,Implementing_partner,State-IP,GenCooperativeUniqueID,completed_time,started_time,username,received_on
e583a216-d518-4e76-958b-0bc0eec0d7a3,Male,Youth,Transporters,Bauchi,Urban,Yes,No,2024-06-24,WOFAN,Bauchi-WOFAN,Bau7MUO07,24/06/2024 06:07,24/06/2024 05:59,bau12,24/06/2024 06:07
38f26970-01ca-4a3a-886b-6053ab9a8f1a,Male,Youth,Loaders,Kano,Rural,Yes,No,2024-06-24,WOFAN,Kano-WOFAN,Beb5UUD12,24/06/2024 07:06,24/06/2024 06:47,tun22,24/06/2024 07:06
72ffb93a-1dfd-42bb-9078-de3ca4a7a352,Male,Youth,Loaders,Kano,Urban,Yes,Yes,2024-06-24,WOFAN,Kano-WOFAN,KirF8SC52,24/06/2024 05:42,24/06/2024 05:35,kir16,24/06/2024 07:09
af57a36a-11b2-406a-80aa-61adbbc31b43,Male,Youth,Loaders,Kano,Rural,Yes,Yes,2024-06-24,WOFAN,Kano-WOFAN,BebVT1940,24/06/2024 07:09,24/06/2024 06:57,kir09,24/06/2024 07:09
c8a28e9b-93fc-4242-86f3-bd08b341ab04,Male,Youth,Transporters,Gombe,Rural,Yes,No,2024-06-24,WOFAN,Gombe-WOFAN,KwaDUNU42,24/06/2024 07:35,24/06/2024 07:13,kwa29,24/06/2024 07:35
63bc7526-d851-4ec4-8ece-ddd993f757e6,Male,Youth,Loaders,Kano,Peri_urban,No,No,2024-06-24,WOFAN,Kano-WOFAN,TofMDEX44,24/06/2024 06:56,24/06/2024 06:38,bag01,24/06/2024 07:39
bf385f5a-8767-4b3b-94f1-274d4d18e1ee,Female,Youth,Transporters,Kano,Rural,Yes,No,2024-06-24,WOFAN,Kano-WOFAN,TofIDF721,24/06/2024 07:41,24/06/2024 06:54,rig16,24/06/2024 07:41
69af7d0d-bbcd-45d0-9875-db0dc34381aa,Male,Youth,Loaders,Bauchi,Rural,Yes,No,2024-06-24,WOFAN,Bauchi-WOFAN,TorSCFT40,24/06/2024 07:57,24/06/2024 07:42,tor05,24/06/2024 07:57
d3d402a6-f467-453a-adf7-c503b068a108,Male,Youth,Transporters,Kano,Rural,Yes,Yes,2024-06-24,WOFAN,Kano-WOFAN,Gar6GG221,24/06/2024 07:38,24/06/2024 07:03,gmm50,24/06/2024 08:02
39e8ae11-f78a-4229-a121-59e703093908,Male,Youth,Loaders,Kano,Rural,Yes,No,2024-06-24,WOFAN,Kano-WOFAN,BebKGSH40,24/06/2024 08:03,24/06/2024 07:44,kir02,24/06/2024 08:03
8d31e1d3-67cc-4c87-b274-0c3fe3d0000e,Male,Youth,Loaders,Bauchi,Rural,Yes,No,2024-06-24,WOFAN,Bauchi-WOFAN,War7J6S06,24/06/2024 08:16,24/06/2024 08:06,war04,24/06/2024 08:16
0b3a8d09-70cc-4e20-b1e6-bac658eedd76,Male,Youth,Loaders,Bauchi,Rural,Yes,No,2024-06-24,WOFAN,Bauchi-WOFAN,Gan4P8I38,24/06/2024 08:17,24/06/2024 07:59,gan08,24/06/2024 08:17
e95bb298-0bed-48a2-8d93-e77308c44ed5,Male,Youth,Loaders,Kano,Rural,No,No,2024-06-24,WOFAN,Kano-WOFAN,BebN62502,24/06/2024 08:23,24/06/2024 07:55,kir08,24/06/2024 08:24
942cd6bf-4f3f-4368-9648-fe8a2c36a502,Male,Youth,Transporters,Bauchi,Rural,Yes,Yes,2024-06-24,WOFAN,Bauchi-WOFAN,AlkJ5DB16,24/06/2024 08:27,24/06/2024 08:07,alk01,24/06/2024 08:27
990cbccc-9d38-40f0-8a8b-f6fd5c1e0488,Male,Youth,Loaders,Gombe,Rural,Yes,Yes,2024-06-24,WOFAN,Gombe-WOFAN,BilEX3J10,24/06/2024 08:23,24/06/2024 08:03,bill09,24/06/2024 08:27
56f360ed-0423-40a5-8786-61b1aeab6e90,Male,Youth,Transporters,Bauchi,Rural,Yes,No,2024-06-24,WOFAN,Bauchi-WOFAN,WarD5WO06,24/06/2024 07:49,24/06/2024 07:38,war05,24/06/2024 08:40
ce9a15ec-9ee3-454f-a9b2-6d70ca5a11b7,Male,Youth,Transporters,Bauchi,Rural,Yes,Yes,2024-06-24,WOFAN,Bauchi-WOFAN,Alk9NCC08,24/06/2024 08:41,24/06/2024 08:27,alk01,24/06/2024 08:51
2d1f4429-36b3-4d41-a85a-f1c736d8805b,Male,Youth,Loaders,Bauchi,Urban,Yes,Yes,2024-06-24,WOFAN,Bauchi-WOFAN,BauL2QR16,24/06/2024 08:52,24/06/2024 08:35,bau14,24/06/2024 08:52
6a17f44b-6f32-4d36-80df-cbdbe01b1b74,Male,Youth,Loaders,Bauchi,Urban,Yes,Yes,2024-06-24,WOFAN,Bauchi-WOFAN,AlkFSEB03,24/06/2024 08:18,24/06/2024 08:07,alk02,24/06/2024 08:53
4b8c8231-2193-4725-967b-58f176ba5859,Male,Youth,Transporters,Gombe,Rural,Yes,No,2024-06-24,WOFAN,Gombe-WOFAN,AkkQ6QZ41,24/06/2024 08:56,24/06/2024 08:48,akk01,24/06/2024 08:56
d53af45d-9942-4b1f-8a63-6c545cfa7597,Male,Youth,Loaders,Kano,Urban,No,No,2024-06-24,WOFAN,Kano-WOFAN,TudE4ZW59,24/06/2024 04:33,24/06/2024 04:28,tun17,24/06/2024 09:02
e26eea2d-cbc9-473f-98a0-3379ab35fac7,Male,Youth,Loaders,Gombe,Peri_urban,Yes,No,2024-06-24,WOFAN,Gombe-WOFAN,AkkND1C31,24/06/2024 09:06,24/06/2024 08:16,akk05,24/06/2024 09:06
a104b17e-2189-4737-91ec-262b6384e480,Male,Youth,Transporters,Kano,Rural,Yes,No,2024-06-24,WOFAN,Kano-WOFAN,BagAJXY49,24/06/2024 09:09,24/06/2024 08:26,bag05,24/06/2024 09:09
087e784c-485f-45de-a84a-40470e468753,Male,Youth,Loaders,Kano,Rural,Yes,No,2024-06-24,WOFAN,Kano-WOFAN,BebE80G26,24/06/2024 09:15,24/06/2024 09:07,kir22,24/06/2024 09:15
53abb938-bd98-48a1-8b84-5a2a46287be4,Male,Youth,Loaders,Gombe,Rural,Yes,Yes,2024-06-24,WOFAN,Gombe-WOFAN,Bil1XQG16,24/06/2024 09:18,24/06/2024 09:10,bill09,24/06/2024 09:18
0c8a9c0e-47f4-4cc8-adce-f73ef89c1cf7,Male,Youth,Loaders,Bauchi,Urban,Yes,Yes,2024-06-24,WOFAN,Bauchi-WOFAN,BauK1PC40,24/06/2024 09:28,24/06/2024 09:12,bau10,24/06/2024 09:28
d8322130-1f34-4c80-b72a-27030c00de01,Male,Youth,Transporters,Kano,Peri_urban,Yes,Yes,2024-06-24,WOFAN,Kano-WOFAN,GarE48220,24/06/2024 09:32,24/06/2024 06:51,gmm66,24/06/2024 09:32
317e0981-43d7-4ab9-aef9-0b052a16ab25,Male,Youth,Loaders,Kano,Rural,Yes,Yes,2024-06-24,WOFAN,Kano-WOFAN,RimIU2D38,24/06/2024 09:33,24/06/2024 09:23,rig08,24/06/2024 09:33
8e7b14d3-9ad5-44ef-8d0e-cfeb47eb43b8,Male,Youth,Loaders,Bauchi,Urban,Yes,No,2024-06-24,WOFAN,Bauchi-WOFAN,BauAKOH48,24/06/2024 09:40,24/06/2024 09:30,bau13,24/06/2024 09:40
