formid,1  Training Date (Ranar horo),2  Name of Training or Title (Taken horo),form/Case_Data/Comm_Partner_ID,form/Case_Data/Gender,form/Case_Data/Gender_and_Age,form/Case_Data/Disability_Status_class,form/Case_Data/State,form/Case_Data/LGA,form/Case_Data/IDP_Classification,username
3a7dc383-9940-4f86-8aff-eb33c561a60e,2024-07-02,"Group_Formation,_Dynamics_and_financial_literary",Jah922CT753,Male,Male Youth,No disability,Jigawa,Jahun,Non-IDP,jah42
09722f87-a477-4f49-bd2e-0e2c11473440,2024-01-14,"Group_Formation,_Dynamics_and_financial_literary",Mig1NJYAG16,Male,Male Youth,No disability,Jigawa,Miga,Non-IDP,jah59
c308b1b6-3b0e-4a1a-b259-e0ebaf1e31aa,2024-06-12,"Group_Formation,_Dynamics_and_financial_literary",IkaSUZ03A48,Male,Male Youth,No disability,Kaduna,Ikara,Non-IDP,ika32
77543180-9876-412d-ac45-c3f8e880670a,2024-07-16,"Group_Formation,_Dynamics_and_financial_literary",Rim5U8GDW36,Male,Male Youth,No disability,Kano,Rimi_Gado,Non-IDP,rig17
6f576391-b563-4e0e-b14e-ea84ee969928,2023-07-07,"Group_Formation,_Dynamics_and_financial_literary",RinICYYRQ50,Male,Male Youth,No disability,Jigawa,Ringim,Non-IDP,rin26
8edc5b95-4649-4bfb-b0b2-cabaabde93d5,2024-07-06,"Group_Formation,_Dynamics_and_financial_literary",RinGKLR1935,Male,Male Youth,No disability,Jigawa,Ringim,Non-IDP,rin22
2fd969f7-228d-4189-a840-1295128ea501,2024-06-15,"Group_Formation,_Dynamics_and_financial_literary",RinAFWXKI08,Male,Male Youth,No disability,Jigawa,Ringim,Non-IDP,rin22
3ea69466-1e9d-4a30-b36f-3fdefa165e72,2024-07-22,"Group_Formation,_Dynamics_and_financial_literary",JahMQW4WW05,Female,Female Youth,No disability,Jigawa,Jahun,Non-IDP,jah51
c52e2fbf-4f4b-47dc-a765-69da404dbde7,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",ShoVIWR1413,Male,Male Youth,No disability,Gombe,Shongom,Non-IDP,sha06
4c477b01-9c98-4ba2-9214-ff86154fa872,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",ShoVA323N21,Male,Male Youth,No disability,Gombe,Shongom,Non-IDP,sha06
