formid,CommPartnerMaritalStatus,Stateofresidence,CommPartnerHouseHoldStatus,Cooperative_unique_ID,IDP_classification,implementing_Partner,Comm_Partners_Age_group,Sex_and_AgeGroup,disability_classification,Beneficiaryuniqueid,completed_time,started_time,username,received_on,CommPartnerPovertyClass
319fe661-ba64-48ba-85a1-0b3ecd2ee561,Single,Bauchi,Child_to_head_of_household,,Non-IDP,WOFAN,Youth,Male Youth,No disability,BauDW4HX354,24/06/2024 06:11,24/06/2024 06:07,bau12,24/06/2024 06:11,N/A
f902cf46-99f2-4bc3-a00a-2c1fc2ea6285,Single,Bauchi,Child_to_head_of_household,,Non-IDP,WOFAN,Youth,Male Youth,No disability,BauAMGM9P10,24/06/2024 06:14,24/06/2024 06:11,bau12,24/06/2024 06:14,N/A
2e2f2e77-22f7-4dcd-9680-a2d09e8bf3ce,Single,Bauchi,Child_to_head_of_household,,Non-IDP,WOFAN,Youth,Male Youth,No disability,BauKGMZHX12,24/06/2024 06:17,24/06/2024 06:14,bau12,24/06/2024 06:17,N/A
89c04b50-3664-4447-8dd5-343e27699693,Single,Bauchi,Child_to_head_of_household,,Non-IDP,WOFAN,Youth,Male Youth,No disability,Bau3MNFEY47,24/06/2024 06:21,24/06/2024 06:18,bau12,24/06/2024 06:21,N/A
907938e9-c7a1-4b5c-8c21-10fdd15a6c08,Single,Bauchi,Child_to_head_of_household,,Non-IDP,WOFAN,Youth,Male Youth,No disability,BauTG0Y3801,24/06/2024 06:26,24/06/2024 06:23,bau12,24/06/2024 06:26,N/A
f83e44b5-3fd9-44d2-baf7-7823d9fbaf20,Single,Bauchi,Child_to_head_of_household,,Non-IDP,WOFAN,Youth,Male Youth,No disability,BauDDN4GJ28,24/06/2024 06:30,24/06/2024 06:26,bau12,24/06/2024 06:30,N/A
68f8bf9a-fc1f-442c-a0e6-119326f9e2f0,Single,Bauchi,Child_to_head_of_household,,Non-IDP,WOFAN,Youth,Male Youth,No disability,BauNH4ITZ02,24/06/2024 06:36,24/06/2024 06:33,bau12,24/06/2024 06:36,N/A
be855633-f8e4-4cbc-b2d1-6d5f50efbf64,Single,Bauchi,Child_to_head_of_household,,Non-IDP,WOFAN,Youth,Male Youth,No disability,BauMD9RAZ54,24/06/2024 06:39,24/06/2024 06:36,bau12,24/06/2024 06:39,N/A
f912670b-9b69-4b09-901a-25213ebf7d13,Single,Bauchi,Child_to_head_of_household,,Non-IDP,WOFAN,Youth,Male Youth,No disability,Bau3DD39Q43,24/06/2024 06:43,24/06/2024 06:40,bau12,24/06/2024 06:43,N/A
d62f42c3-63f3-4c34-9fbb-f8cc9d1589e3,Single,Bauchi,Child_to_head_of_household,,Non-IDP,WOFAN,Youth,Male Youth,No disability,BauFCEQ6G19,24/06/2024 06:47,24/06/2024 06:44,bau12,24/06/2024 06:47,N/A
1750f6c2-2818-46b7-94cc-e157401feca9,Single,Bauchi,Child_to_head_of_household,,Non-IDP,WOFAN,Youth,Male Youth,No disability,Bau4WRL2R27,24/06/2024 06:50,24/06/2024 06:48,bau12,24/06/2024 06:51,N/A
252ba4d7-dcea-4eef-871d-c12f0ebf4875,Single,Bauchi,Child_to_head_of_household,,Non-IDP,WOFAN,Youth,Male Youth,No disability,BauGQZRBE08,24/06/2024 06:53,24/06/2024 06:51,bau12,24/06/2024 06:53,N/A
f5631341-e6ff-46f4-912c-3e33de4dd498,Single,Bauchi,Child_to_head_of_household,,Non-IDP,WOFAN,Youth,Male Youth,No disability,BauB0095Q22,24/06/2024 06:56,24/06/2024 06:54,bau12,24/06/2024 06:56,N/A
592f798e-0cfe-44ac-a5cb-ad8f7a63d1cb,Single,Bauchi,Child_to_head_of_household,,Non-IDP,WOFAN,Youth,Male Youth,No disability,BauCX4ITZ35,24/06/2024 07:02,24/06/2024 06:57,bau12,24/06/2024 07:02,N/A
b7ca4fde-b353-4d7b-82f7-9302acb3ff5f,Single,Bauchi,Child_to_head_of_household,,Non-IDP,WOFAN,Youth,Male Youth,No disability,Bau7R49GA07,24/06/2024 07:04,24/06/2024 07:02,bau12,24/06/2024 07:04,N/A
fc5e1afd-4ab7-4daf-a50f-19c4af686753,Married,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,Kir3AAYQP56,24/06/2024 05:46,24/06/2024 05:42,kir16,24/06/2024 07:09,N/A
4371d325-a2c6-439e-8772-1c01f8b05aff,Married,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,Kir61F5X243,24/06/2024 05:49,24/06/2024 05:46,kir16,24/06/2024 07:09,N/A
1b39d9db-d055-4a34-85dc-07449c8d3ff0,Married,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,Kir5UYRFG57,24/06/2024 05:52,24/06/2024 05:49,kir16,24/06/2024 07:09,N/A
195815ac-0a90-407d-ba7c-f3038e470597,Married,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,Kir6QVFDQ49,24/06/2024 05:56,24/06/2024 05:53,kir16,24/06/2024 07:09,N/A
27b92250-50ef-4ab3-bde8-7f2c42010d64,Single,Kano,Child_to_head_of_household,,Non-IDP,WOFAN,Youth,Male Youth,No disability,KirBCV7NZ29,24/06/2024 05:59,24/06/2024 05:56,kir16,24/06/2024 07:09,N/A
f2183f85-d0b9-47ce-8ce2-5641a1b3547f,Married,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,KirRF15X250,24/06/2024 06:02,24/06/2024 05:59,kir16,24/06/2024 07:09,N/A
a21af13b-ad51-4edb-866e-82f9c596b409,Married,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,KirJ323SE01,24/06/2024 06:04,24/06/2024 06:02,kir16,24/06/2024 07:09,N/A
d98480ea-a405-4ce4-aec9-4c1f83f7c569,Married,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,KirJE6BR720,24/06/2024 06:06,24/06/2024 06:04,kir16,24/06/2024 07:09,N/A
bfbf65f8-804e-4285-9164-1a3492842225,Married,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,KirRY445419,24/06/2024 06:08,24/06/2024 06:06,kir16,24/06/2024 07:09,N/A
e496e82d-88cc-4ddf-8355-a06d813d5b2b,Married,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,KirM89FSN40,24/06/2024 06:10,24/06/2024 06:08,kir16,24/06/2024 07:09,N/A
999fbeba-e1af-4f69-b5e1-828859a1259e,Single,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,KirZBP3DL53,24/06/2024 06:12,24/06/2024 06:11,kir16,24/06/2024 07:09,N/A
b5a71e07-f998-43b5-81c7-3d819e5543da,Married,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,Kir1KZHDH59,24/06/2024 06:15,24/06/2024 06:13,kir16,24/06/2024 07:09,N/A
5f7c728a-359b-4157-bdad-1410f06c7a00,Married,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,KirESRKBU03,24/06/2024 06:17,24/06/2024 06:15,kir16,24/06/2024 07:09,N/A
8b245370-7d50-4e3d-ab22-e6ac1f284746,Married,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,KirTG3NVX46,24/06/2024 06:19,24/06/2024 06:17,kir16,24/06/2024 07:09,N/A
8e914a72-25d6-40bd-90b9-a0c27736fc53,Married,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,KirLAA3O515,24/06/2024 06:21,24/06/2024 06:19,kir16,24/06/2024 07:09,N/A
1acf1b5a-9781-4a5c-918e-b4d7c015f7c8,Single,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,KirTRLWCE03,24/06/2024 06:24,24/06/2024 06:22,kir16,24/06/2024 07:09,N/A
e0f76fed-ce52-45f0-ab21-adec65a31bdd,Single,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,KirH6FQPM27,24/06/2024 06:27,24/06/2024 06:24,kir16,24/06/2024 07:09,N/A
bd1df0ae-42be-4a30-973d-1f4aaecf100f,Married,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,Kir6C9CMM03,24/06/2024 06:29,24/06/2024 06:27,kir16,24/06/2024 07:09,N/A
f2490519-8387-4af1-9b58-f03af16044cf,Married,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,KirN4MYHA37,24/06/2024 06:31,24/06/2024 06:29,kir16,24/06/2024 07:09,N/A
8714cd23-0751-4769-851c-296ae0fc1921,Married,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,Kir4TAHSI29,24/06/2024 06:33,24/06/2024 06:31,kir16,24/06/2024 07:09,N/A
c2885ffd-5905-439f-b06f-6955376b0855,Married,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,Kir2W2YW102,24/06/2024 06:35,24/06/2024 06:33,kir16,24/06/2024 07:09,N/A
af4ec73d-ec3e-4702-8d92-1f70191fc233,Married,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,KirGHIPH000,24/06/2024 06:37,24/06/2024 06:35,kir16,24/06/2024 07:09,N/A
ea86f4fd-4e72-4018-90fe-98f41d872260,Single,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,Kir4V11NX02,24/06/2024 06:40,24/06/2024 06:38,kir16,24/06/2024 07:09,N/A
6dc422ac-f0ae-4e25-8278-b5f49f2ea468,Married,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,KirJRYOLK33,24/06/2024 06:43,24/06/2024 06:40,kir16,24/06/2024 07:10,N/A
e2ded6d2-fc26-4a25-a9df-094174567bab,Married,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,KirNI4DRP20,24/06/2024 06:46,24/06/2024 06:44,kir16,24/06/2024 07:10,N/A
9e4da078-b154-4af4-bd0d-44312b5c6546,Single,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,Kir6OVK4G31,24/06/2024 06:49,24/06/2024 06:47,kir16,24/06/2024 07:10,N/A
401b235f-7e3f-43b5-bb67-881e534ff030,Married,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,Kir9S0NLS56,24/06/2024 06:51,24/06/2024 06:49,kir16,24/06/2024 07:10,N/A
13c707bc-f4aa-43f4-ac8f-eee5502b2f3a,Married,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,KirF0O6WY47,24/06/2024 06:54,24/06/2024 06:52,kir16,24/06/2024 07:10,N/A
0eab6059-9b37-4a9a-8eb1-e127ddeda317,Married,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,KirCTJW8H03,24/06/2024 07:04,24/06/2024 07:02,kir16,24/06/2024 07:10,N/A
2e431641-456a-4f63-bb47-f8b5ce9f3897,Married,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,KirD7OQXM50,24/06/2024 07:08,24/06/2024 07:04,kir16,24/06/2024 07:10,N/A
b0d97000-f826-4825-bdfd-80543207de76,Single,Bauchi,Child_to_head_of_household,,Non-IDP,WOFAN,Youth,Male Youth,No disability,BauAJWT9Y58,24/06/2024 07:15,24/06/2024 07:09,bau12,24/06/2024 07:15,N/A
52c55c54-8692-4e9d-9d1f-24bfd9e9f5c0,Single,Bauchi,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,Bau8934FR10,24/06/2024 07:20,24/06/2024 07:16,bau12,24/06/2024 07:20,N/A
85b0f7be-0aee-435b-a34f-a26935af4153,Single,Bauchi,Child_to_head_of_household,,Non-IDP,WOFAN,Youth,Male Youth,No disability,BauW66Q9L47,24/06/2024 07:22,24/06/2024 07:20,bau12,24/06/2024 07:30,N/A
093b0d27-4b31-4b31-8155-91f3d4a98a24,Single,Bauchi,Child_to_head_of_household,,Non-IDP,WOFAN,Youth,Male Youth,No disability,BauOHCI8N51,24/06/2024 07:30,24/06/2024 07:26,bau12,24/06/2024 07:30,N/A
e0442b03-7f1a-40b3-80c6-d5f661095c7d,Married,Bauchi,Child_to_head_of_household,,Non-IDP,WOFAN,Youth,Male Youth,No disability,Bau7RY5F505,24/06/2024 07:33,24/06/2024 07:30,bau12,24/06/2024 07:33,N/A
4dff4992-bfc2-4b82-9b75-58638cae37f2,Married,Bauchi,Child_to_head_of_household,,Non-IDP,WOFAN,Youth,Male Youth,No disability,BauUVPX2T19,24/06/2024 07:38,24/06/2024 07:33,bau12,24/06/2024 07:38,N/A
de583e36-5cbf-455b-83e6-d0a320d08da4,Single,Kano,Child_to_head_of_household,,Non-IDP,WOFAN,Youth,Male Youth,No disability,TofN7S90N56,24/06/2024 07:23,24/06/2024 06:59,bag01,24/06/2024 07:39,N/A
7a45868e-e9c0-4dfa-8cb9-912b76dda8f8,Single,Kano,Child_to_head_of_household,,Non-IDP,WOFAN,Youth,Male Youth,Persons with disability,Tof6HUE4Q30,24/06/2024 07:34,24/06/2024 07:24,bag01,24/06/2024 07:39,N/A
dce50d5d-63d0-42c1-9abe-fc89e2d391b4,Single,Bauchi,Child_to_head_of_household,,Non-IDP,WOFAN,Youth,Male Youth,No disability,Bau44M3H832,24/06/2024 07:45,24/06/2024 07:42,bau12,24/06/2024 07:45,N/A
69df9f9a-4e52-46bb-a0f2-a2c3c69c0b34,Single,Bauchi,Child_to_head_of_household,,Non-IDP,WOFAN,Youth,Male Youth,No disability,BauATKPQL43,24/06/2024 07:48,24/06/2024 07:47,bau12,24/06/2024 07:48,N/A
