formid,CommPartnersGender,CommPartnerMaritalStatus,Stateofresidence,Farming_Seasons_to_Participate_in_2024,LandAvailableIn2024WetSeason,LandAvailableIn2024DrySeason,ReasonForDisplacement,CommPartnerHouseHoldStatus,Cooperative_unique_ID,Implementing_Partner,PovertyClassification,Comm_Partners_Age_group,Sex_and_AgeGroup,IDP_classification,disability_classification,Beneficiaryuniqueid,completed_time,started_time,username,received_on
9482c0b9-b876-4fc6-b9da-54ee842081c1,Female,Single,Jigawa,---,---,---,I_am_an_indigene,Child_to_head_of_household,JahHGBV58,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahTIO9QB23,11/02/2024 08:34,11/02/2024 08:31,jah71,11/02/2024 10:37
a819de11-3f08-4eb9-95df-698b9025ee4c,Female,Single,Jigawa,---,---,---,I_am_an_indigene,Child_to_head_of_household,JahHGBV58,WOFAN,Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahDXSA5R33,11/02/2024 08:36,11/02/2024 08:34,jah71,11/02/2024 10:37
8564344b-14e0-4a21-a0e2-c70d31989278,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Child_to_head_of_household,JahHGBV58,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahWKGP6D25,11/02/2024 08:38,11/02/2024 08:36,jah71,11/02/2024 10:37
bf7b0795-a62c-4d8c-b997-73cbc1237309,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Household_head,JahHGBV58,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahF94YVQ23,11/02/2024 08:40,11/02/2024 08:38,jah71,11/02/2024 10:37
cfda20b5-a2f4-4629-a849-8149263dcf17,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Household_head,JahHGBV58,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahNHJXRI19,11/02/2024 08:42,11/02/2024 08:40,jah71,11/02/2024 10:37
ec6c15f6-a5fa-42e7-8826-7ebb4127314f,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Household_head,JahHGBV58,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Jah90INI606,11/02/2024 08:43,11/02/2024 08:42,jah71,11/02/2024 10:37
ad01854d-afd9-4591-9a86-d38b82c1856c,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Household_head,JahHGBV58,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahCXLE7F29,11/02/2024 08:47,11/02/2024 08:45,jah71,11/02/2024 10:37
6b29e4bd-343f-4829-9c7f-764fe05855cb,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Child_to_head_of_household,JahHGBV58,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Jah7VLH0035,11/02/2024 08:49,11/02/2024 08:47,jah71,11/02/2024 10:37
e96b71c4-c7e5-4457-8153-8cbd55d875bd,Female,Single,Jigawa,---,---,---,I_am_an_indigene,Child_to_head_of_household,JahHGBV58,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Jah2ACTXD34,11/02/2024 08:51,11/02/2024 08:49,jah71,11/02/2024 10:37
89c1a314-c72d-4cc9-b3e8-1452e976656d,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Child_to_head_of_household,JahHGBV58,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahZ8LT6K13,11/02/2024 09:48,11/02/2024 09:45,jah71,11/02/2024 10:40
1c93e3fd-a32b-4c41-9c58-1de96abfeb08,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Household_head,JahHGBV58,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahYEPFTC48,11/02/2024 09:51,11/02/2024 09:48,jah71,11/02/2024 10:40
e9fbb9b0-dc2c-41da-9568-4a2dc4f0ac02,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Child_to_head_of_household,JahHGBV58,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahD3BOR057,11/02/2024 10:34,11/02/2024 09:52,jah71,11/02/2024 10:40
17d742c6-15f2-4f76-95d8-d0db6f876dce,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Child_to_head_of_household,JahHGBV58,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Jah4SYH8V56,11/02/2024 11:16,11/02/2024 11:13,jah71,11/02/2024 11:16
11c2f5b5-f46d-44bd-bca4-5f07650ca2e6,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Child_to_head_of_household,JahHGBV58,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahHXSXSO48,11/02/2024 11:09,11/02/2024 11:01,jah71,11/02/2024 11:16
30b764b2-17f5-4211-94c3-82816b234d68,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Household_head,JahHGBV58,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Jah712HHR06,11/02/2024 11:20,11/02/2024 11:18,jah71,11/02/2024 11:23
72a7034b-ffef-4d5f-b832-0d2e18b14cb1,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Child_to_head_of_household,JahHGBV58,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahY43EW733,11/02/2024 11:23,11/02/2024 11:21,jah71,11/02/2024 11:23
55b02d55-509c-4228-9f87-4f3c1ccaa6c2,Female,Single,Jigawa,---,---,---,I_am_an_indigene,Child_to_head_of_household,JahHGBV58,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahAHSTKS48,11/02/2024 12:32,11/02/2024 11:30,jah71,11/02/2024 12:35
fe886101-94b6-4c92-a05d-aa927edb1e01,Female,Single,Jigawa,---,---,---,I_am_an_indigene,Spouse_to_household_head,JahHGBV58,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Jah3V7S6G59,11/02/2024 12:33,11/02/2024 12:32,jah71,11/02/2024 12:35
6c10cf36-578d-41ae-86c9-7637aeb88024,Female,Single,Jigawa,---,---,---,I_am_an_indigene,Child_to_head_of_household,JahHGBV58,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahTL7X9U41,11/02/2024 12:39,11/02/2024 12:36,jah71,11/02/2024 12:41
c0789e9c-0bf0-45cb-bea2-e3331a1468d3,Female,Single,Jigawa,---,---,---,I_am_an_indigene,Child_to_head_of_household,JahHGBV58,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahJBVG2211,11/02/2024 12:41,11/02/2024 12:40,jah71,11/02/2024 12:41
1b07f95b-df67-43b5-81c5-8861f06d9b07,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Child_to_head_of_household,JahHGBV58,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahBUOQV956,11/02/2024 12:44,11/02/2024 12:41,jah71,11/02/2024 12:46
a6c480ec-79eb-460f-a6cb-592e7524e9c4,Female,Single,Jigawa,---,---,---,I_am_an_indigene,Household_head,JahHGBV58,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahT09XMQ07,11/02/2024 12:45,11/02/2024 12:44,jah71,11/02/2024 12:46
621df241-a3b5-44a4-a826-5667d17b98f1,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Spouse_to_household_head,JahBH5R35,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahU2CBIF54,11/02/2024 13:42,11/02/2024 13:37,jah68,11/02/2024 13:43
db17d5df-2af3-44bf-8745-c4c9d5d3f636,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Spouse_to_household_head,JahBH5R35,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahWAXKZ138,11/02/2024 13:47,11/02/2024 13:43,jah68,11/02/2024 13:47
63aed576-2370-4819-9064-aa756faeaf21,Female,Single,Jigawa,---,---,---,I_am_an_indigene,Household_head,JahBH5R35,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahMCC6G956,11/02/2024 13:51,11/02/2024 13:47,jah68,11/02/2024 13:51
6463868c-5495-45d1-a419-c16fb1fae59c,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Household_head,JahBH5R35,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Jah2AY8TW02,11/02/2024 14:03,11/02/2024 13:52,jah68,11/02/2024 14:03
badb9871-67df-4ac9-bcad-87567f993092,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Other_member_of_household,JahBH5R35,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahDAEHZ724,11/02/2024 14:10,11/02/2024 14:05,jah68,11/02/2024 14:10
d002c2f6-69ac-4bb3-a03e-228b50ba522a,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Other_member_of_household,JahBH5R35,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Jah6ECOW436,11/02/2024 14:15,11/02/2024 14:11,jah68,11/02/2024 14:15
19d43dda-0cb7-4a6a-8e32-7d2c2029cb78,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Relative_to_household_head_or_spouse,JahBH5R35,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahNPW7E038,11/02/2024 14:19,11/02/2024 14:15,jah68,11/02/2024 14:20
1d15c031-d57b-40af-9c38-032d7d85f6d6,Female,Married,Jigawa,Both_Seasons,1.0,1.0,I_am_an_indigene,Household_head,JahS1EI09,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Jah4CJUD726,11/02/2024 14:21,11/02/2024 14:09,jah60,11/02/2024 14:21
ca2c28b7-74f1-465a-b8d5-57c60938d6d6,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Spouse_to_household_head,JahBH5R35,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahWETACR07,11/02/2024 14:24,11/02/2024 14:20,jah68,11/02/2024 14:24
db766567-7c7c-44c0-ab10-ec2a123fcb0d,Female,Divorced,Jigawa,---,---,---,I_am_an_indigene,Other_member_of_household,JahBH5R35,WOFAN,Poor,Youth,Female Youth,Non-IDP,Persons with disability,Jah431XDQ20,11/02/2024 14:29,11/02/2024 14:24,jah68,11/02/2024 14:29
7a85ad3f-337b-4029-9cf8-b3c8438ba607,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Other_member_of_household,JahBH5R35,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahM1I7IH15,11/02/2024 14:33,11/02/2024 14:29,jah68,11/02/2024 14:33
b5d4b550-9995-4d97-b071-67e7fde2e633,Female,Married,Bauchi,Wet_Season,2.0,---,I_am_an_indigene,Spouse_to_household_head,BauOQ8X52,WOFAN,Poor,Youth,Female Youth,Non-IDP,Persons with disability,Bau49KD3O13,11/02/2024 14:34,11/02/2024 14:25,bau13,11/02/2024 14:34
9fa099f5-f8ae-4525-bd2b-69867e7a5932,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Household_head,JahBH5R35,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahW5Z0BU34,11/02/2024 14:36,11/02/2024 14:33,jah68,11/02/2024 14:36
3dbd665d-6c67-4d40-a53a-15e0b152cfa0,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Household_head,JahVTAE37,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahZFWU2U29,11/02/2024 14:20,11/02/2024 14:18,jah59,11/02/2024 14:38
432aeabc-5d44-42f7-8967-f6b7ea60d492,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Spouse_to_household_head,JahVTAE37,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Jah58ASNI41,11/02/2024 14:26,11/02/2024 14:23,jah59,11/02/2024 14:38
aaacaf76-575f-46fa-9dc1-abe1f225f019,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Spouse_to_household_head,JahVTAE37,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahE415IM57,11/02/2024 14:29,11/02/2024 14:26,jah59,11/02/2024 14:38
df5ded1e-1371-4da9-9de4-b40f054cb155,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Household_head,JahVTAE37,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Jah68XP5058,11/02/2024 14:33,11/02/2024 14:29,jah59,11/02/2024 14:38
2fc562c9-4fde-47ba-8fa1-b679d891291d,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Spouse_to_household_head,JahVTAE37,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahKX3LP126,11/02/2024 14:35,11/02/2024 14:33,jah59,11/02/2024 14:38
2e316cf3-0990-4101-98f2-33bf9caea7f8,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Household_head,JahVTAE37,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahSM9SPM55,11/02/2024 14:38,11/02/2024 14:35,jah59,11/02/2024 14:39
