formid,CoopAgeGroup,Natureofyourcooperativesmembersenterprises,State,LocationType,JointVenture,MajorBusinessArea,HaveElectedExco,Ownanactivebankaccount,Implementing_partner,State-IP,GenCooperativeUniqueID,CoopGender,Registration_Date,completed_time,started_time,username,received_on
505fcffa-cdd4-400d-8781-8d4ca1d7cf68,Youth,Agro_Artisans,Kano,Rural,Yes,Agro-Trader,Yes,Yes,WOFAN,Kano-WOFAN,Dal62LF40,Female,2024-01-18,18/01/2024 18:20,18/01/2024 18:16,kir02,18/01/2024 18:20
1626fa60-0340-4923-91f0-edf7f80b280e,Youth,Agro_Artisans,Kano,Rural,Yes,Production,Yes,No,WOFAN,Kano-WOFAN,BebWMOK46,Male,2024-01-18,18/01/2024 19:18,18/01/2024 19:13,kir02,18/01/2024 19:18
5f118d88-bc95-4255-804e-613fb4971a4f,Youth,Marketers,Adamawa,Peri_urban,Yes,Agro-Input_Dealer,Yes,No,Farm Innovation,Adamawa-Farm Innovation,GanLF6H41,Female,2024-01-28,28/01/2024 10:02,28/01/2024 09:08,dem01,28/01/2024 10:03
e6c49122-ac94-41ac-a666-6b776ca1950e,Youth,Marketers,Adamawa,Peri_urban,Yes,Agro-Input_Dealer,Yes,Yes,Farm Innovation,Adamawa-Farm Innovation,Gan0DGI45,Female,2024-01-28,28/01/2024 10:02,28/01/2024 09:09,dem01,28/01/2024 10:03
77eb862e-f2c8-4aca-a712-e188807ecde3,Youth,Marketers,Adamawa,Peri_urban,Yes,Agro-Input_Dealer,Yes,Yes,Farm Innovation,Adamawa-Farm Innovation,GanV9XW51,Female,2024-01-28,28/01/2024 10:03,28/01/2024 09:09,dem01,28/01/2024 10:03
a35d3ae0-a65c-48af-a262-badfc51c829d,Youth,Marketers,Adamawa,Peri_urban,Yes,Agro-Input_Dealer,Yes,Yes,Farm Innovation,Adamawa-Farm Innovation,GanJ9X644,Female,2024-01-28,28/01/2024 10:03,28/01/2024 09:08,dem01,28/01/2024 10:03
f6374e87-a226-459b-af8f-f2d24f2a1ba9,Youth,Marketers,Adamawa,Peri_urban,Yes,Agro-Input_Dealer,Yes,Yes,Farm Innovation,Adamawa-Farm Innovation,Gan0Q4Z02,Female,2024-01-28,28/01/2024 10:02,28/01/2024 09:08,dem01,28/01/2024 10:03
8cb384fe-69e4-4d3d-8e29-3cda76b54b81,Youth,Marketers,Adamawa,Peri_urban,Yes,Agro-Input_Dealer,Yes,Yes,Farm Innovation,Adamawa-Farm Innovation,GanR5AF46,Female,2024-01-28,28/01/2024 10:03,28/01/2024 09:08,dem01,28/01/2024 10:03
85f4272b-eddf-4626-8286-bb4d0c5cab29,Youth,Marketers,Adamawa,Peri_urban,Yes,Agro-Input_Dealer,Yes,Yes,Farm Innovation,Adamawa-Farm Innovation,Gan1W4B37,Female,2024-01-28,28/01/2024 10:03,28/01/2024 09:09,dem01,28/01/2024 10:03
909304f9-a03c-40d6-8848-253e4c2b7e59,Youth,Agro_Artisans,Adamawa,Peri_urban,Yes,Agro-Input_Dealer,Yes,Yes,Farm Innovation,Adamawa-Farm Innovation,Gan4US443,Female,2024-01-28,28/01/2024 10:02,28/01/2024 09:09,dem01,28/01/2024 10:03
