formid,State,6  Ongoing farm activity at the time of visit | None,6  Ongoing farm activity at the time of visit | Site_Selection,6  Ongoing farm activity at the time of visit | Land_Measurement,6  Ongoing farm activity at the time of visit | Land_Clearing,6  Ongoing farm activity at the time of visit | First_herbicide_application,6  Ongoing farm activity at the time of visit | Ploughing_Harrowing_Tilling,6  Ongoing farm activity at the time of visit | Preparation_of_Nursery_,6  Ongoing farm activity at the time of visit | Planting,6  Ongoing farm activity at the time of visit | Transplanting,6  Ongoing farm activity at the time of visit | Gap_control_(Replacement_of_un-germinated_plants),6  Ongoing farm activity at the time of visit | Mulching,6  Ongoing farm activity at the time of visit | Post-Emergence_Herbicide_Application_or_Manual_weeding_1,6  Ongoing farm activity at the time of visit | NPK_Application,6  Ongoing farm activity at the time of visit | Application_of_Aflasafe,6  Ongoing farm activity at the time of visit | Application_of_Pesticide,6  Ongoing farm activity at the time of visit | Post-Emergence_Herbicide_Application_or_Manual_weeding_2,6  Ongoing farm activity at the time of visit | Urea_Application,6  Ongoing farm activity at the time of visit | SSP_Application,6  Ongoing farm activity at the time of visit | Post-Emergence_Herbicide_Application_or_Manual_weeding_3,6  Ongoing farm activity at the time of visit | Harvesting,6  Ongoing farm activity at the time of visit | Drying_(To_eradicate_moisture),6  Ongoing farm activity at the time of visit | Winnowing,6  Ongoing farm activity at the time of visit | Bagging,6  Ongoing farm activity at the time of visit | Storage,6  Ongoing farm activity at the time of visit | extra,7  Crop(s) planted | None,7  Crop(s) planted | Groundnut,7  Crop(s) planted | Maize,7  Crop(s) planted | Rice,7  Crop(s) planted | Sorghum,7  Crop(s) planted | extra,form/Implementing_partner,Cooperative_Unique_ID,Gender_of_cooperative_members,Age_of_cooperative_members,Nature_of_Cooperative_members,username,received_on
9fea9ce5-9085-4260-9261-d07d75130355,Kaduna,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,Kaduna 1-PVNL,C-ChiWHCHQ48,Male,Youth,Production,chk307,12/06/2025 08:12
5a5b0a1e-2ac3-4483-90a5-f9fac5d2e6a1,Kaduna,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Kaduna 1-PVNL,C-ChiLPZQC44,Male,Youth,Production,chk307,12/06/2025 09:04
37e77b73-806d-4752-908b-f47c02db49f3,Kaduna,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,Kaduna 2-PVNL,C-Jem9BCNO32,Female,Youth,Production/Processing,jam301,12/06/2025 12:16
e79f61e9-3e5d-4f7d-829d-4a044f8b014f,Kaduna,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,Kaduna 2-PVNL,C-Jem9BCNO32,Female,Youth,Production/Processing,jam301,12/06/2025 12:23
311a23ae-3e95-45ea-aab0-e25588e3c070,Kaduna,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,Kaduna 2-PVNL,C-Jem9BCNO32,Female,Youth,Production/Processing,jam301,12/06/2025 12:39
02a4d0e5-1af2-4d62-b118-ea42d7138e90,Kaduna,,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,Kaduna 2-PVNL,C-JemBN0JB04,Female,Youth,Production/Processing,jam301,12/06/2025 12:55
aaf2e1b5-332c-4321-bfc9-75530ab6abd9,Kaduna,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,Kaduna 2-PVNL,C-JemBN0JB04,Female,Youth,Production/Processing,jam301,12/06/2025 13:09
d3a66132-fc96-4608-b9ee-02d6f0258922,Kaduna,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,Kaduna 2-PVNL,C-JemBN0JB04,Female,Youth,Production/Processing,jam301,12/06/2025 13:18
08c277e5-de4a-4c69-a23a-71ec0589c12d,Kaduna,,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,Kaduna 2-PVNL,C-JemVRW0I00,Female,Youth,Production/Processing,jam301,12/06/2025 13:30
498080c1-1d94-4513-837e-c06443e42d89,Kaduna,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,Kaduna 2-PVNL,C-JemVRW0I00,Female,Youth,Production/Processing,jam301,12/06/2025 13:44
