formid,Training_or_Title,EW_ID,received_on
b0ca4e49-fb3b-4986-843c-702705c9a758,Comm._Partner_Registration,Aba305,24/03/2025 11:28
a52e5842-5a4b-4050-bf64-76a2e53aed3f,Comm._Partner_Registration,Aba301,24/03/2025 11:29
eb6d3e37-f21f-42dc-ba96-9380d73357ed,Comm._Partner_Registration,Aba300,18/05/2025 09:12
fd15d3f5-4554-4a92-aadf-840bdc974b04,"Group_formation,_and_dynamics_for_financial_inclusion",Aba300,18/05/2025 09:14
0b5fe1fa-b51b-4a4b-a496-8d265ca3801d,ICT_solutions_for_agriculture,Aba300,18/05/2025 09:14
9e4f7e90-41de-4ef1-a909-f35b5443ce9f,GAP_&_crop_management,Aba300,18/05/2025 09:15
7e802d3a-c8de-4044-9da5-8ee318ef20b0,Comm._Partner_Registration,Aba301,18/05/2025 09:19
dad3ff67-9b2e-4d12-a0f3-814cd8abc3fc,"Group_formation,_and_dynamics_for_financial_inclusion",Aba301,18/05/2025 09:20
baf128b6-eeca-4dbf-b3ef-44d21fbfbfdf,ICT_solutions_for_agriculture,Aba301,18/05/2025 09:21
18ccc657-8b8c-4105-8836-aaf808d7738c,GAP_&_crop_management,Aba301,18/05/2025 09:22
2224ddae-5e03-4eee-a2a0-c943a344aa66,Comm._Partner_Registration,Aba302,18/05/2025 09:22
4e5e50a5-deab-45af-a49f-22aca2cd0dde,"Group_formation,_and_dynamics_for_financial_inclusion",Aba302,18/05/2025 09:23
19d007b1-83f0-4f99-9bc2-0a7b736336b9,ICT_solutions_for_agriculture,Aba302,18/05/2025 09:23
2921dec7-f84b-4ccc-97f3-231ef81d75e5,GAP_&_crop_management,Aba302,18/05/2025 09:24
b524c77a-7a3c-4e10-9f0e-dcf9f521154e,Comm._Partner_Registration,Aba303,18/05/2025 09:24
e7809f2b-b1a4-4c63-af31-fca26911d2eb,"Group_formation,_and_dynamics_for_financial_inclusion",Aba303,18/05/2025 09:25
e5e1e7fd-db59-42f9-8c25-9154be358731,ICT_solutions_for_agriculture,Aba303,18/05/2025 09:25
e5a48e87-49a0-465a-a79b-195d0d97fe55,GAP_&_crop_management,Aba303,18/05/2025 09:25
63c165b2-e6af-4131-a58d-e819fde3d900,Comm._Partner_Registration,Aba304,18/05/2025 09:26
f2acaa65-8eea-4d0a-a067-0273e0e24724,"Group_formation,_and_dynamics_for_financial_inclusion",Aba304,18/05/2025 09:27
5b3090e7-22b2-4274-9c0e-f32c7c93ef24,ICT_solutions_for_agriculture,Aba304,18/05/2025 09:27
040cd68d-f996-47dd-8891-5ab0d5a70034,GAP_&_crop_management,Aba304,18/05/2025 09:27
7cd036f0-d869-459e-bc23-3504c49aa958,Comm._Partner_Registration,Aba305,18/05/2025 09:28
dec250eb-3ed0-4a98-a391-6a02e6dfe0e9,"Group_formation,_and_dynamics_for_financial_inclusion",Aba305,18/05/2025 09:28
d35d17bf-d534-4497-ae21-c3c223a4027a,ICT_solutions_for_agriculture,Aba305,18/05/2025 09:29
5486e7a2-b572-4b08-847e-85502c904f57,GAP_&_crop_management,Aba305,18/05/2025 09:29
9d1f296e-51c1-48ca-ba48-5831436fdb04,Comm._Partner_Registration,Aba306,18/05/2025 09:30
eb95bdcc-f33a-4bbb-b708-b97969f02879,"Group_formation,_and_dynamics_for_financial_inclusion",Aba306,18/05/2025 09:31
69f178f7-213e-4f0d-a5b1-3498293dd580,ICT_solutions_for_agriculture,Aba306,18/05/2025 09:31
5bcb4d5e-e4f5-40f3-bb63-03a0f465908c,GAP_&_crop_management,Aba306,18/05/2025 09:32
2b7d9712-5a28-4cae-8123-6b05a967a50b,Comm._Partner_Registration,Aba307,18/05/2025 09:32
57177250-413a-4a8d-a42e-d9ff8edd6f32,"Group_formation,_and_dynamics_for_financial_inclusion",Aba307,18/05/2025 09:33
b9e65476-7532-458e-999e-2fe191fac76a,ICT_solutions_for_agriculture,Aba307,18/05/2025 09:33
c39be628-f146-49be-a67a-ab1122c7b17b,GAP_&_crop_management,Aba307,18/05/2025 09:34
6ccf2194-6d72-43d4-8500-f87d24a4c37e,Comm._Partner_Registration,Aba308,18/05/2025 09:35
76ef26b3-cee6-4fb3-861f-779e9c1fd8fe,"Group_formation,_and_dynamics_for_financial_inclusion",Aba308,18/05/2025 09:35
169cfa03-814c-4bce-a173-c6f317dc9420,ICT_solutions_for_agriculture,Aba308,18/05/2025 09:36
036dc08b-195d-40ca-b7f4-9e148d1f0a3a,GAP_&_crop_management,Aba308,18/05/2025 09:36
d5668528-15cf-4ba2-96dd-026b37f0d440,Comm._Partner_Registration,Aba309,18/05/2025 09:37
90aa4d17-b380-4564-8b83-2181fe63df45,"Group_formation,_and_dynamics_for_financial_inclusion",Aba309,18/05/2025 09:37
96083d42-3a93-4995-a7ef-2687cb469c8e,ICT_solutions_for_agriculture,Aba309,18/05/2025 09:38
d825658e-db6f-4146-a2e3-99e1f9d99a6c,GAP_&_crop_management,Aba309,18/05/2025 09:39
7c072412-93a7-4334-b7d8-84bdb9b78188,Comm._Partner_Registration,Aba310,18/05/2025 09:39
6eaa7701-bcbb-490f-bdb5-4bc36f5ba706,"Group_formation,_and_dynamics_for_financial_inclusion",Aba310,18/05/2025 09:40
9b8fd836-f033-4e8d-b7c9-c5129f359b32,ICT_solutions_for_agriculture,Aba310,18/05/2025 09:40
522b375b-5801-499d-8ed5-0b775d080fef,GAP_&_crop_management,Aba310,18/05/2025 09:40
36f4fe77-5f90-4d8b-9830-9a3a9e514b6c,Comm._Partner_Registration,Aba311,18/05/2025 09:41
336cc9b1-3750-4c21-ba76-efea2a2190bf,"Group_formation,_and_dynamics_for_financial_inclusion",Aba311,18/05/2025 09:42
6c8e281c-18c6-43c5-ad29-e475f9826eca,ICT_solutions_for_agriculture,Aba311,18/05/2025 09:42
903c06b3-ef57-4757-8c6f-7b4c64b71a7d,GAP_&_crop_management,Aba311,18/05/2025 09:43
e10c8fcd-fe1a-4e16-ae67-364b36024df4,Comm._Partner_Registration,Aba312,18/05/2025 09:44
090b43e4-34ba-4a8b-8b13-3be484054cd4,"Group_formation,_and_dynamics_for_financial_inclusion",Aba312,18/05/2025 09:45
6578a075-2a58-4ca1-ab55-55502bf6f465,ICT_solutions_for_agriculture,Aba312,18/05/2025 09:46
ae7696de-70ff-46a9-88e7-bc5847d955fe,GAP_&_crop_management,Aba312,18/05/2025 09:46
69446bb0-2315-4b72-9024-71b580ddc021,"Group_formation,_and_dynamics_for_financial_inclusion",Aba312,18/05/2025 09:47
9c28341a-d39e-46e8-ad0f-deef4879cd0c,Comm._Partner_Registration,Aba313,18/05/2025 09:47
78f46773-7030-4b09-a888-488fd6e3e621,"Group_formation,_and_dynamics_for_financial_inclusion",Aba313,18/05/2025 09:48
4d4d859e-27ab-4208-bc78-d68d5e2075df,ICT_solutions_for_agriculture,Aba313,18/05/2025 09:48
927fdf28-9eae-4f68-8aee-f13d4d69f0ca,GAP_&_crop_management,Aba313,18/05/2025 09:49
3b6a74a6-ffc3-45f3-9be1-0430b754706c,Comm._Partner_Registration,Aba314,18/05/2025 09:49
1eb9b17d-a174-497f-b33c-b4c8370b751a,"Group_formation,_and_dynamics_for_financial_inclusion",Aba314,18/05/2025 09:50
cefaac4b-04a4-4147-bd06-05bce3ada9e3,ICT_solutions_for_agriculture,Aba314,18/05/2025 09:50
a1ab81c4-50d1-40ed-8fc1-599ddf5fbcc9,GAP_&_crop_management,Aba314,18/05/2025 09:50
872a98d9-5509-4dc4-8de5-5bc79f4d0181,Comm._Partner_Registration,Kuj300,18/05/2025 09:51
b73aecaf-220c-4218-b13f-2fd6cfffd773,"Group_formation,_and_dynamics_for_financial_inclusion",Kuj300,18/05/2025 09:52
d94f1801-713a-4f23-8730-2e614bd743e3,ICT_solutions_for_agriculture,Kuj300,18/05/2025 09:52
54299036-5d72-48f5-bda3-2dd15bff06eb,GAP_&_crop_management,Kuj300,18/05/2025 09:53
92b3bc03-c210-4583-b5d7-5e0c2f366a58,Comm._Partner_Registration,Kuj301,18/05/2025 09:53
1e55ea8b-803a-40d5-961a-7154c7145341,"Group_formation,_and_dynamics_for_financial_inclusion",Kuj301,18/05/2025 09:53
96c4a36d-9095-49b4-a439-b38c12cc36e2,ICT_solutions_for_agriculture,Kuj301,18/05/2025 09:54
bce4a768-8213-45a3-b29f-3bedb37756c6,GAP_&_crop_management,Kuj301,18/05/2025 09:54
1f0cbd31-06db-4e99-8fa2-8982035b4621,Comm._Partner_Registration,Kuj302,18/05/2025 09:55
2fc9e438-d59a-46a1-9e08-093949d76d1d,"Group_formation,_and_dynamics_for_financial_inclusion",Kuj302,18/05/2025 09:56
11805db4-e9b1-4b41-963d-bb146055c66a,ICT_solutions_for_agriculture,Kuj302,18/05/2025 09:56
868a2eb7-29c9-4bce-a1e0-1e9495838279,GAP_&_crop_management,Kuj302,18/05/2025 09:57
d5f50283-dcc7-49b3-814c-cfe784117def,Comm._Partner_Registration,Kuj303,18/05/2025 09:57
f55042cd-42e7-4e12-b629-d89f98d6cc8c,"Group_formation,_and_dynamics_for_financial_inclusion",Kuj303,18/05/2025 09:59
c9c706d2-610f-4422-99de-5db2c9770992,ICT_solutions_for_agriculture,Kuj303,18/05/2025 09:59
cb768488-7e2c-483f-a361-29fd98fb76fc,GAP_&_crop_management,Kuj303,18/05/2025 10:00
656ea6de-d41b-4405-a361-e03c0b61e833,Comm._Partner_Registration,Kuj304,18/05/2025 10:01
ebf40fa4-20d7-468c-af00-63da15726cec,"Group_formation,_and_dynamics_for_financial_inclusion",Kuj304,18/05/2025 10:01
18a1ba67-a55d-435a-9b26-3d270acdd7d0,ICT_solutions_for_agriculture,Kuj304,18/05/2025 10:01
de6d2eef-af1a-4ac4-8e03-0fc3c48aed34,GAP_&_crop_management,Kuj304,18/05/2025 10:02
42707660-7fa1-44e0-b26e-0af711185279,Comm._Partner_Registration,Kwa300,18/05/2025 10:03
38ac60d8-50be-4e57-bb1c-022a4800104d,"Group_formation,_and_dynamics_for_financial_inclusion",Kwa300,18/05/2025 10:03
09549b07-b30e-4f19-a465-7517c38141fb,ICT_solutions_for_agriculture,Kwa300,18/05/2025 10:04
ca49ee9d-051f-40e7-b942-53c651925a96,GAP_&_crop_management,Kwa300,18/05/2025 10:04
f928846b-4e7f-4506-ab2c-68c17a13a782,Comm._Partner_Registration,Kwa301,18/05/2025 10:04
74adb479-2760-4f71-a4b8-749f6e106261,"Group_formation,_and_dynamics_for_financial_inclusion",Kwa301,18/05/2025 10:05
c2ff0fee-0a83-467f-b4b8-e118984f40a1,ICT_solutions_for_agriculture,Kwa301,18/05/2025 10:05
d1cf4646-78e7-46c9-a40e-87e3c7d09660,GAP_&_crop_management,Kwa301,18/05/2025 10:05
1ba0331b-c7f7-41b3-aca4-04e424dba1e2,Comm._Partner_Registration,Kwa302,18/05/2025 10:06
e459e3e6-7cb8-4193-819b-070bed120466,"Group_formation,_and_dynamics_for_financial_inclusion",Kwa302,18/05/2025 10:06
56c32334-3337-4ef7-a1a2-beec27e101ef,ICT_solutions_for_agriculture,Kwa302,18/05/2025 10:07
34ce2501-a1c0-4328-ba7d-82beeef49386,GAP_&_crop_management,Kwa302,18/05/2025 10:08
9e7fdeff-5049-4df0-b0c2-4ee3afc21c07,Comm._Partner_Registration,Kwa303,18/05/2025 10:08
ad02d251-f42f-4c50-854d-55ddf17c5ee8,"Group_formation,_and_dynamics_for_financial_inclusion",Kwa303,18/05/2025 10:09
f6725cc5-c505-4dda-8fcb-5b0eb1f7ca55,ICT_solutions_for_agriculture,Kwa303,18/05/2025 10:09
b692551e-9264-4a27-8da6-d75791ab83f9,GAP_&_crop_management,Kwa303,18/05/2025 10:10
12cec2a2-f146-4268-8e86-baa17672969b,Comm._Partner_Registration,Kwa304,18/05/2025 10:10
879795f6-4ff5-4cee-b2c5-9cb3de631750,"Group_formation,_and_dynamics_for_financial_inclusion",Kwa304,18/05/2025 10:11
666371e2-b8d6-435b-885a-62d6cca28622,ICT_solutions_for_agriculture,Kwa304,18/05/2025 10:11
8c5936d2-1b88-4a34-884e-8ba1e6d427f8,GAP_&_crop_management,Kwa304,18/05/2025 10:12
6ff5d58b-068e-4f45-928a-9636bbebb1f7,Comm._Partner_Registration,Kwa305,18/05/2025 10:12
8e572dae-0728-4eb5-b84b-1985ff8b27b3,"Group_formation,_and_dynamics_for_financial_inclusion",Kwa305,18/05/2025 10:13
2f54ffd4-d8d0-408d-b626-199fa1b4d0e2,ICT_solutions_for_agriculture,Kwa305,18/05/2025 10:13
b0651401-5b78-4d45-991c-7e666ca4fc2f,GAP_&_crop_management,Kwa305,18/05/2025 10:14
bf0557b1-40a2-47c7-9817-47000ff6a0e6,Comm._Partner_Registration,Kwa306,18/05/2025 10:14
717a531d-3a42-423a-b336-b7a49f1bcee4,"Group_formation,_and_dynamics_for_financial_inclusion",Kwa306,18/05/2025 10:15
e99f9ce2-c6a2-4e1f-9c6e-bcd962309330,ICT_solutions_for_agriculture,Kwa306,18/05/2025 10:15
b749ea2d-9f79-44d3-8c31-9e890a5fe778,GAP_&_crop_management,Kwa306,18/05/2025 10:15
7282a8dc-59f4-4236-a9aa-d1f39e18094c,Comm._Partner_Registration,Akk300,18/05/2025 16:29
9bfc0c17-7ee1-43ca-b239-2ea5e9139ea5,GAP_&_crop_management,Akk300,18/05/2025 16:29
21c6e969-92a5-47f9-bd95-982ecbc42f40,ICT_solutions_for_agriculture,Akk300,18/05/2025 16:29
b6b580fb-4fd9-44a6-adeb-27ac527d5015,"Group_formation,_and_dynamics_for_financial_inclusion",Akk300,18/05/2025 16:29
28768a0b-8891-4203-83f6-b88d34a3860d,Comm._Partner_Registration,Akk301,18/05/2025 16:29
74afc870-b650-4137-b786-4376e58bfd9d,GAP_&_crop_management,Akk301,18/05/2025 16:29
e7b51539-e4d4-40fe-85ee-573b1996b52c,ICT_solutions_for_agriculture,Akk301,18/05/2025 16:29
5619e1c0-0cfd-480a-a4c3-2bfe46faec98,"Group_formation,_and_dynamics_for_financial_inclusion",Akk301,18/05/2025 16:29
8e0c7a29-70f8-46c5-9945-1e8bf4cae6b2,Comm._Partner_Registration,Akk302,18/05/2025 16:29
f4a0fbf2-f858-45e5-8644-417314d8de1a,GAP_&_crop_management,Akk302,18/05/2025 16:29
9b08fd05-87a0-4e03-9e02-7e78ce2137cd,ICT_solutions_for_agriculture,Akk302,18/05/2025 16:29
16fa9868-f0bf-4fd5-8cea-1c13f6c22fa7,"Group_formation,_and_dynamics_for_financial_inclusion",Akk302,18/05/2025 16:29
d53b8735-a1a2-445c-8d80-65e7f97bcbe3,Comm._Partner_Registration,Akk303,18/05/2025 16:29
30bcec28-6713-402b-ab55-86b7ee10e744,GAP_&_crop_management,Akk303,18/05/2025 16:29
87f67010-8f6a-41af-ae5f-285553564479,ICT_solutions_for_agriculture,Akk303,18/05/2025 16:29
8912512d-5a82-41b0-bc2f-c1c9e347664b,"Group_formation,_and_dynamics_for_financial_inclusion",Akk303,18/05/2025 16:29
0201faa9-8020-4cd3-b10f-892b957c50a7,Comm._Partner_Registration,Akk304,18/05/2025 16:29
d079845d-909f-4fb8-9c7d-e452106ba49e,GAP_&_crop_management,Akk304,18/05/2025 16:29
1ef7f529-f7e7-4aa4-b8ca-dfda81246ec0,ICT_solutions_for_agriculture,Akk304,18/05/2025 16:29
d543e54a-3336-4095-96fa-931827ff6902,"Group_formation,_and_dynamics_for_financial_inclusion",Akk304,18/05/2025 16:29
8192e708-be6d-4deb-8c59-45d80497dad9,Comm._Partner_Registration,Akk305,18/05/2025 16:29
36fd2f35-525f-4fae-855d-0cf9726d7f22,GAP_&_crop_management,Akk305,18/05/2025 16:29
d87b4c11-3644-4676-a8a5-1ba9a7fd0137,ICT_solutions_for_agriculture,Akk305,18/05/2025 16:29
102344f4-9a0e-4004-957e-f25fc1da75b4,"Group_formation,_and_dynamics_for_financial_inclusion",Akk305,18/05/2025 16:29
d977a420-4c31-4940-868a-5abc7d6b67df,Comm._Partner_Registration,Akk306,18/05/2025 16:29
7b39c3ce-26ec-4e71-8f22-15480cd8908d,GAP_&_crop_management,Akk306,18/05/2025 16:29
c870170a-0e82-4e89-9052-14ff7d2ea8ea,ICT_solutions_for_agriculture,Akk306,18/05/2025 16:29
0c441d1c-94db-4918-9b61-afdcccf45cfb,"Group_formation,_and_dynamics_for_financial_inclusion",Akk306,18/05/2025 16:29
503c8b52-cf98-4548-be8c-509491d006c4,Comm._Partner_Registration,Akk307,18/05/2025 16:29
47edbd2a-4e38-4db3-98d3-a671d3946088,GAP_&_crop_management,Akk307,18/05/2025 16:29
9a1d5e57-f106-479c-8688-fdd8dcb14dc7,ICT_solutions_for_agriculture,Akk307,18/05/2025 16:29
48abfa9a-6d5e-4906-af29-e887f16c8ed3,"Group_formation,_and_dynamics_for_financial_inclusion",Akk307,18/05/2025 16:29
9ba5f96a-4db4-49ed-891a-c56e87c8a57e,Comm._Partner_Registration,Bal300,18/05/2025 16:29
1f6fd5ee-d451-4a3e-b30c-3be2fbc512b9,GAP_&_crop_management,Bal300,18/05/2025 16:29
8bca6d74-bf8e-4ff9-9f67-b6c0ef7bf482,ICT_solutions_for_agriculture,Bal300,18/05/2025 16:29
b61210ea-986e-47bf-8f9e-adc89ee33877,"Group_formation,_and_dynamics_for_financial_inclusion",Bal300,18/05/2025 16:29
