formid,Cooperative_Unique_ID,form/Input_totals/Total_Maize_Seed,form/Input_totals/Total_Rice_Seed,form/Input_totals/Total_Groundnut_Seed,form/Input_totals/Total_Sorghum_Seed,form/Input_totals/Totak_NPK,form/Input_totals/Total_UREA,form/Input_totals/Total_Select_2_4-D_herbicide,form/Input_totals/Total_Glyphosate_ForceUP,form/Input_totals/Total_Glyphosate_Slasher,form/Input_totals/Total_Butachlor,form/Input_totals/Total_AgriForce,form/Input_totals/Total_LaraForce,form/Input_totals/Total_SAAF,form/Input_totals/Total_GuardForce,form/Input_totals/Total_Atrazine,form/Input_totals/Total_VInash,form/Input_totals/Total_Lambda,form/Input_totals/Total_Aflasafe,form/Input_totals/Total_Glyspring,form/Input_totals/Total_Rice_pro,form/Input_totals/Total_Cotrazine,form/Input_totals/Total_Vanguish,form/Input_totals/Total_Striker,form/Input_totals/Total_Buster,form/Input_totals/Total_Hallakat,form/Input_totals/Total_ButaForce,form/Input_totals/Total_Select_Gold,form/Input_totals/Total_Gobara,form/Input_totals/Total_GreenForce,received_on,Which farming season will these inputs be used in
9df42334-6482-4805-8bc4-311e198bc5b1,C-Akk7BOPI54,50,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,18/05/2025 07:12,Wet_Season
99b3d1b4-3eaa-474c-9b4a-5df62d14a275,C-Akk8PNH841,50,,,,5,5,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,18/05/2025 07:12,Wet_Season
50f8a341-13c5-409b-84c9-1b12816495e8,C-AkkRO81T56,50,,,,5,5,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,18/05/2025 07:12,Dry_Season
fca7ce5b-fa76-4975-a38a-9d55a5a4a040,C-AkkQ8MOM18,50,,,,5,5,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,18/05/2025 07:22,Wet_Season
3c1c6005-afe1-4887-acb6-db9b901e4c2f,C-AkkKZPD131,50,,,,5,5,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,18/05/2025 07:33,Wet_Season
0140e439-ee96-4f1d-a95b-0a2d4fad50be,C-AkkYAGU935,50,,,,5,5,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,18/05/2025 08:29,Wet_Season
bce750a3-022b-4527-aa95-cdb35a0f8b22,C-Akk6KBS314,50,,,,5,5,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,18/05/2025 08:29,Wet_Season
6f88139b-7e68-4208-95a0-bb35fe7e9829,C-Akk6PEA732,50,,,,5,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,18/05/2025 08:29,Wet_Season
e18f7ea4-0787-4018-9a55-e1f453f96846,C-Akk363G939,50,,,,5,5,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,18/05/2025 08:36,Wet_Season
c99000d7-0767-43e3-9a9d-e40c8c45b7de,C-Akk4TD0O48,50,,,,5,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,18/05/2025 09:43,Wet_Season
447e646e-534c-4ac3-934b-b926da2d8f4e,C-Akk6VIGL39,50,,,,5,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,18/05/2025 09:43,Wet_Season
d1981e1b-1fe2-4688-a97d-3c297e2bab05,C-AkkDIREO50,50,,,,5,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,18/05/2025 09:43,Wet_Season
c12aa970-d8da-49c4-99f6-c784250748e8,C-AkkTD88805,50,,,,5,5,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,18/05/2025 09:43,Wet_Season
1cb74393-1a6c-413c-810b-7afebf8e9178,C-AkkX7MKX12,50,,,,5,5,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,18/05/2025 09:43,Dry_Season
5d19564d-a9f0-4702-ba35-ba4ee451eaed,C-AkkXJ51A18,50,,,,5,5,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,18/05/2025 09:43,Wet_Season
3f66be69-820e-47fe-9b83-47818ed8bf99,C-AkkZT08135,50,,,,5,5,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,18/05/2025 09:43,Wet_Season
49b1eda5-5ab8-42c6-a053-327d651d1860,C-Akk1J4VW56,50,,,,5,5,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,18/05/2025 11:24,Wet_Season
7242922f-af15-4986-8915-168102976f85,C-Akk85GQC18,50,,,,5,5,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,18/05/2025 11:27,Wet_Season
