formid,Name of Mega Cluster,location_State,Number of Micro Portable multi sheller and maize milling appliances,Number of Frabricated stoves with chimneys,Number of Briqquette press,Number of Carbonizer,Number of Fabricated Rice parboilers pots/burner base,Number of Hammer Mill,Number of Destoner,Number of Rice Polisher,Number Solar-powered dryer,Please Specify number of other equipment,Qty of Treadle pump,Qty of Fertilizer planter,Qty of Umbrella,Date,username,received_on,Implementing_partner
3d55529b-ee2f-4c4c-b708-0b58ad1d4106,DUMNE WOFAN/ICON2 WOMEN CENTER,Adamawa,1,2,1,1,8,1,1,1,---,---,---,1,---,2025-09-04,data07,04/09/2025 11:43,Farm Innovation
a8ee1d50-ca4a-4ac3-810d-e3e67aa382f0,"Song, WOFAN/ICON2 WOMEN CENTER",Adamawa,1,2,1,1,8,1,1,1,---,---,---,1,---,2025-09-04,data07,04/09/2025 11:48,Farm Innovation
18dbc633-7252-43eb-958d-d32547da4e87,"FALI WOFAN/ICON2 WOMEN CENTER, MUBI NORTH",Adamawa,1,2,1,1,8,1,1,1,---,---,---,1,---,2025-09-04,data07,04/09/2025 11:54,Farm Innovation
7aedea13-7d84-48ef-ad72-ce35a5181515,"Monduva WOFAN/ICON2 women center, Mubi South",Adamawa,1,2,1,1,8,1,1,1,---,---,---,1,---,2025-09-04,data07,04/09/2025 12:00,Farm Innovation
067d1a3f-54b3-4e6c-84df-0707419f990d,Gilima,Jigawa,---,2,1,1,6,---,1,1,---,---,---,---,5,2025-08-06,data08,06/09/2025 10:59,WOFAN
1a535237-0ccb-4d9d-b7f4-c09cf4a63b46,Kanwa,Jigawa,---,2,1,1,6,1,1,---,---,---,---,---,5,2025-08-06,data08,06/09/2025 11:14,WOFAN
a38fd734-7e7a-47e1-aecd-d87e2c7229de,Shafar,Jigawa,---,2,1,1,6,1,1,1,---,---,---,---,5,2025-08-06,data08,06/09/2025 11:17,WOFAN
ac827b4d-7b85-46f6-a558-19ba71f07003,Harbo Sabuwa,Jigawa,---,2,1,1,6,1,1,1,---,---,---,---,5,2025-08-06,data08,06/09/2025 11:18,WOFAN
a52ea719-d09b-47b1-a4cb-a18bd7e9fe3a,Harbo Tsohuwa,Jigawa,---,2,1,1,6,1,1,1,---,---,---,---,5,2025-08-06,data08,06/09/2025 11:21,WOFAN
a2eaa1df-8030-420a-a9c9-1157a4f46660,Zangon Kanya,Jigawa,---,2,1,1,6,1,1,1,---,---,---,---,5,2025-08-06,data08,06/09/2025 11:24,WOFAN
f0d37f84-28d6-4914-97d3-22aff9d9381c,Kwalam,Jigawa,---,2,1,1,6,1,1,1,---,---,---,---,5,2025-08-06,data08,06/09/2025 11:26,WOFAN
