formid,NameofMegaCluster,Name of equipment Distribution Center,Which of these Equipment(s) has the cluster received | Hand-held_tillers,Which of these Equipment(s) has the cluster received | Hand-held_multi-crop_harvester,Which of these Equipment(s) has the cluster received | Fertilizer_broadcasters,Which of these Equipment(s) has the cluster received | Multi_crop_shelling_machines,Which of these Equipment(s) has the cluster received | Water/_irrigation__pumps,Which of these Equipment(s) has the cluster received | Personal_Protective_Equipment_(2sets),Which of these Equipment(s) has the cluster received | Solar_Powered_Knapsack_Sprayer,Which of these Equipment(s) has the cluster received | Petrol_powered_Knapsack_Sprayer,Which of these Equipment(s) has the cluster received | Fertilizer_Pusher,Which of these Equipment(s) has the cluster received | Seed_Planter,Which of these Equipment(s) has the cluster received | Solar-powered_irrigation_pump,Which of these Equipment(s) has the cluster received | Others,Which of these Equipment(s) has the cluster received | extra,Qty of Hand-held tillers,Qty of Hand-held multi-crop harvester,Qty of Hand held Transplanter,Qty of Fertilizer broadcasters,Qty of Multi crop shelling machines,Qty of Solar Powered Knapsack Sprayer,Qty of Solar-powered irrigation pump,Qty of Petrol powered Knapsack Sprayer,Qty of Water/ irrigation  pumps,Qty of Personal Protective Equipment (2sets),Qty of Fertilizer Pusher,Qty of Seed Planter,WOFANContributionEquipments | Treadle_pump,WOFANContributionEquipments | Fertilizer_planter,WOFANContributionEquipments | Umbrella,WOFANContributionEquipments | extra,Qty of Treadle pump,Qty of Fertilizer planter,Qty of Umbrella,Dateequipmentwasreceived,Implementing_partner,received_on,Location_State
d34e944c-db42-4241-bbb2-d157bfa2d167,"Monduva WOFAN/ICON2 WOMEN CENTER, Mubi south",Monduva makeshift center,1,1,1,1,1,1,1,,,1,,,,1,1,---,1,1,2,---,---,1,1,---,1,,1,,,---,1,---,2025-09-04,Farm Innovation,04 September 2025,Adamawa
0edcca74-4640-4d98-a428-81d9d6c59243,"Fali WOFAN/ICON2 WOMEN CENTER, MUBI NORTH",Fali makeshift center,1,1,1,1,1,1,1,,,1,,,,1,1,---,1,1,2,---,---,1,1,---,1,,1,,,---,1,---,2025-09-04,Farm Innovation,04 September 2025,Adamawa
51c64242-ef33-4cc1-b59b-5fb4056a9210,DUMNE WOFAN/ICON2 WOMEN CENTER,Dumne makeshift center,1,1,1,1,1,1,1,,,1,,,,1,1,---,1,1,2,---,---,1,1,---,1,,1,,,---,1,---,2025-09-04,Farm Innovation,04 September 2025,Adamawa
53722c20-0f9b-46ce-b74d-419ad1c0ad77,Song WOFAN/ICON2 WOMEN CENTER,Song makeshift center,1,1,1,1,1,1,1,,,1,,,,1,1,---,1,1,2,---,---,1,1,---,1,,1,,,---,1,---,2025-09-04,Farm Innovation,04 September 2025,Adamawa
7ec0158b-00f5-41fc-999f-a9ee45d5bda5,Gilima WOFAN Mega cluster,WOFAN  Center,1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,1,---,1,2,1,1,,1,,,---,1,---,2025-03-08,WOFAN,08 September 2025,Jigawa
4da7bd83-c7d1-4bdb-ae50-3b396b0a1170,Kanwa WOFAN Mega cluster,WOFAN Center,1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,1,---,1,2,1,1,,1,,,---,1,---,2025-03-08,WOFAN,08 September 2025,Jigawa
52d8f753-d2ce-4fd5-be5c-e496799e3b45,Shafar WOFAN Mega Cluster,WOFAN center,1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,2,---,1,2,1,1,,1,,,---,1,---,2025-03-08,WOFAN,08 September 2025,Jigawa
2ad11fed-0829-4359-9696-ad4165c459da,WOFAN Harbo Sabuwa Mega Cluster,WOFAN center,1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,1,---,1,2,1,1,,1,,,---,1,---,2025-03-08,WOFAN,08 September 2025,Jigawa
c934dbdd-a8b8-4228-bae7-bd3895fe4a9d,WOFAN Harbo Tsohuwa,WOFAN center,1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,1,---,1,2,1,1,,1,,,---,1,---,2025-03-08,WOFAN,08 September 2025,Jigawa
ae4fabb1-e7ed-46e4-b581-cdd063c5dc65,Zangon Kanya WOFAN Mega cluster,WOFAN center,1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,1,---,1,2,1,1,,1,,,---,1,---,2025-03-08,WOFAN,08 September 2025,Jigawa
ceb7a1a4-b12f-4f05-abb9-1cdba9895c4e,Kwalam,WOFAN center,1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,1,---,1,2,1,1,,1,,,---,1,---,2025-03-08,WOFAN,08 September 2025,Jigawa
62450c17-116d-4825-b4e5-7cd739e19dff,Yar Jigawa WOFAN Mega cluster,WOFAN Center,1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,1,---,1,2,1,1,,1,,,---,1,---,2025-03-08,WOFAN,08 September 2025,Jigawa
2be252fe-bf5a-44d6-9fcb-cc4902e2ecaa,Tafawa Balewa WOFAN Mega Cluster,WOFAN Center,1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,1,---,1,2,1,1,,1,,,---,1,---,2025-03-11,WOFAN,08 September 2025,Bauchi
