formid,coopgender,coopagegroup,coopstate,cooplocationtype,havejointbiz,majorcropsgrown,majorcropsprocessed,majorcropsmarketed,haveelectedexco,freqmeeting,haveactivebankacct,State-IP,coopID,received_on,natureofmembersenterprise,membersendeavors,username,form case case_id
9dfbbe21-4c8b-464c-ab3e-000e26f73b50,Female,Youth,Gombe,Urban,Yes,Groundnut,Groundnut,---,Yes,Monthly,Yes,Gombe-WOFAN,GomBHK909,11/01/2025 09:28,Persons_with_Disability,Production/Processing,gom25,f8a70d55-1159-4d9f-aad7-4a13dee8ce18
e63b8472-eca9-4aa7-b7ed-f5c376d0b95b,Female,Youth,Jigawa,Rural,Yes,---,---,---,No,Monthly,Yes,Jigawa-WOFAN,Jah40RD08,11/01/2025 09:39,Micro_produce_marketers,Processed_and_Staple_Food_Sellers,jah71,806f3e16-ac68-40ae-8949-960ac3124917
f59a4d21-1973-4cbd-9e62-514eea509a13,Female,Youth,Jigawa,Rural,Yes,Rice,---,---,Yes,Monthly,No,Jigawa-WOFAN,JahP97Z56,11/01/2025 09:43,Persons_with_Disability,Production,rin02,d86dbeb1-5960-4775-a207-5d10a7c82a15
b7ea88e4-346d-4364-b32b-f1754ce9ab8f,Female,Youth,Kano,Rural,Yes,---,---,---,Yes,Monthly,Yes,Kano-WOFAN,Beb1I3N37,11/01/2025 10:24,Micro_produce_marketers,Processed_and_Staple_Food_Sellers,kir09,fc679ac5-ae8a-4cfe-aa22-08cc4d48c29e
90c92a05-c620-4428-802c-e9ac64bb81c8,Female,Youth,Bauchi,Urban,No,---,---,---,Yes,Quarterly,No,Bauchi-WOFAN,Bau9O4O03,11/01/2025 10:28,Persons_with_Disability,Production/Processing,bau06,e521c0eb-c336-446e-a15b-23a35c8df323
3ecff131-e99f-4253-9b57-d8907fd0025d,Female,Youth,Kano,Rural,Yes,---,---,---,Yes,Monthly,Yes,Kano-WOFAN,BebW9T613,11/01/2025 10:36,Micro_produce_marketers,Processed_and_Staple_Food_Sellers,kir20,806c266c-8d54-478d-8f6b-0e3645acffda
e3dc6751-ab0f-4384-85ca-63090f5e7c59,Male,Youth,Jigawa,Rural,No,---,---,---,No,Monthly,No,Jigawa-WOFAN,JahNF9G37,11/01/2025 10:43,Logistics_Service_Providers,Transportion,jah71,074e174a-6bac-4129-90bb-cbb7a7be046c
038c2b3b-301a-4b59-a3d4-128fc7af4bc7,Male,Youth,Jigawa,Rural,No,---,---,---,No,Monthly,No,Jigawa-WOFAN,JahBRR339,11/01/2025 10:46,Logistics_Service_Providers,Transportion,jah71,65d88dd0-f833-492f-bcd3-2ebb8a9b941b
1cf3f446-f39a-42de-8359-7546b6a5c363,Female,Youth,Bauchi,Rural,Yes,---,---,---,Yes,Monthly,No,Bauchi-WOFAN,TafE0V243,11/01/2025 10:52,Micro_produce_marketers,Processed_and_Staple_Food_Sellers,taf03,8d66c07e-3ddd-4ea0-b86b-ea24245d3640
41d9aa7d-0b11-4f7a-855c-9672221fc067,Female,Youth,Kano,Rural,Yes,---,---,---,Yes,Quarterly,Yes,Kano-WOFAN,BebQSCO57,11/01/2025 10:56,Micro_produce_marketers,Grain_and_Cereal_Traders,beb34,cc8540ec-bc82-4c38-88a7-459af5267a10
96f7ec9d-0a54-4cd4-8db9-a30fd10eca60,Female,Youth,Jigawa,Peri_urban,Yes,---,---,---,Yes,Weekly,Yes,Jigawa-WOFAN,JahKXSO54,11/01/2025 11:14,Micro_produce_marketers,Processed_and_Staple_Food_Sellers,jah28,f67f30b3-22b8-403f-a099-b5479a0a4aa1
9e72f7c3-a797-41d5-88f1-9f485a002c78,Female,Youth,Kano,Rural,Yes,---,---,---,Yes,Weekly,Yes,Kano-WOFAN,BebOU0Z27,11/01/2025 11:15,Micro_produce_marketers,Fresh_Produce_Sellers,kir10,73a7e74b-425c-43bf-9558-fc2e23ca357e
aa6d47f4-9426-44dc-8c02-82cb12ad3df8,Female,Youth,Bauchi,Rural,Yes,---,---,---,Yes,Monthly,No,Bauchi-WOFAN,TafUSHJ15,11/01/2025 11:16,Micro_produce_marketers,Fresh_Produce_Sellers,taf03,290b65ca-08e8-48c5-a218-1b81b5fb9a9a
