formid,Type of Financial Product/Service Accessed,Date of accessing Product/Service,Has your cooperative ever given you access to the following business development support services? | None,Has your cooperative ever given you access to the following business development support services? | Training_in_microenterprise_management,Has your cooperative ever given you access to the following business development support services? | Preparing_bankable_business_plans,Has your cooperative ever given you access to the following business development support services? | Business_planning_and_strategy,Has your cooperative ever given you access to the following business development support services? | Export_assistance,Has your cooperative ever given you access to the following business development support services? | Financial_management,Has your cooperative ever given you access to the following business development support services? | Marketing_and_advertising,Has your cooperative ever given you access to the following business development support services? | Personnel_administration,Has your cooperative ever given you access to the following business development support services? | Sales_and_customer_service,Has your cooperative ever given you access to the following business development support services? | Others,Has your cooperative ever given you access to the following business development support services? | extra,5  Has your cooperative ever facilitated access to market opportunities for its members?,Comm_Partner_ID,username,Did your cooperative facilitate access to this financial Product/Service?,Are you satisfied with the product/service?
e4c388d8-061c-4be7-980e-11dd0e16c742,Deposit_Account,2025-03-13,,1,1,1,,1,1,1,,,,Yes,Tof5Y4OUV50,tof71,Yes,Yes
d76ada92-0d40-4949-aee4-80e792535d4f,Deposit_Account,2025-03-13,,1,1,1,,1,1,1,,,,Yes,TofAA61UA34,tof71,Yes,Yes
9e078330-4c01-4c6e-8d7b-60d379b41259,Deposit_Account,2025-03-13,,1,,1,,,1,,,,,Yes,Alk001TQE53,alk02,Yes,Yes
e2e62c80-aef8-4555-a1a4-dcd9636fddc9,Deposit_Account,2025-03-13,,1,1,1,,1,1,1,,,,Yes,TofCVS5GQ42,tof71,Yes,Yes
3be002b6-91e6-4049-8637-4ac2e5efb419,Deposit_Account,2025-02-20,,1,1,1,,1,1,1,,,,Yes,IkaGUM9S649,ika18,Yes,Yes
75e70d7b-fde5-40fb-a5bc-0902005c7cf6,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,Das04BIEG15,das09,Yes,Yes
3625d4e5-28e1-45dc-baa7-b7d99a3c0f23,Deposit_Account,2025-02-20,,1,1,1,,1,1,1,1,,,Yes,DasVRRR5Z42,das09,Yes,Yes
a6ecb3f0-5b08-49b5-9b30-b95f4ce9577d,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,GarJGTEXF29,bun09,Yes,Yes
b3567517-6cbf-48de-ba08-04878bccc0e5,Deposit_Account,2025-02-20,,1,1,1,,1,1,1,1,,,Yes,Das08LD0113,das09,Yes,Yes
3ebabfcd-e872-4cf1-880e-d7b0189a00b7,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,Gar31OB0C19,bun09,Yes,Yes
37e1b3e3-f00a-43ea-83c3-0cc5158cff62,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,Gwa4E7Y1I43,gwa19,Yes,Yes
