formid,Date of visit,State,6  Ongoing farm activity at the time of visit | None,6  Ongoing farm activity at the time of visit | Site_Selection,6  Ongoing farm activity at the time of visit | Land_Measurement,6  Ongoing farm activity at the time of visit | Land_Clearing,6  Ongoing farm activity at the time of visit | First_herbicide_application,6  Ongoing farm activity at the time of visit | Ploughing_Harrowing_Tilling,6  Ongoing farm activity at the time of visit | Preparation_of_Nursery_,6  Ongoing farm activity at the time of visit | Planting,6  Ongoing farm activity at the time of visit | Transplanting,6  Ongoing farm activity at the time of visit | Gap_control_(Replacement_of_un-germinated_plants),6  Ongoing farm activity at the time of visit | Mulching,6  Ongoing farm activity at the time of visit | Post-Emergence_Herbicide_Application_or_Manual_weeding_1,6  Ongoing farm activity at the time of visit | NPK_Application,6  Ongoing farm activity at the time of visit | Application_of_Aflasafe,6  Ongoing farm activity at the time of visit | Application_of_Pesticide,6  Ongoing farm activity at the time of visit | Post-Emergence_Herbicide_Application_or_Manual_weeding_2,6  Ongoing farm activity at the time of visit | Urea_Application,6  Ongoing farm activity at the time of visit | SSP_Application,6  Ongoing farm activity at the time of visit | Post-Emergence_Herbicide_Application_or_Manual_weeding_3,6  Ongoing farm activity at the time of visit | Harvesting,6  Ongoing farm activity at the time of visit | Drying_(To_eradicate_moisture),6  Ongoing farm activity at the time of visit | Winnowing,6  Ongoing farm activity at the time of visit | Bagging,6  Ongoing farm activity at the time of visit | Storage,6  Ongoing farm activity at the time of visit | extra,Farm-related problem reported by the farmer | None,Farm-related problem reported by the farmer | Disease_outbreak_(Specify),Farm-related problem reported by the farmer | Pest_Attack_(Specify),Farm-related problem reported by the farmer | Soil_degradation,Farm-related problem reported by the farmer | Water_Scarcity,Farm-related problem reported by the farmer | Weed_Infestation,Farm-related problem reported by the farmer | Others,Farm-related problem reported by the farmer | extra,Implementing_partner,Cooperative_Unique_ID,State-IP,username
20c2dd9d-112e-41ee-a126-36f8e786b599,2025-05-15,Kano,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-Beb9WQDK56,Kano-WOFAN,tun04
47dd59fd-945d-4865-a89d-de9e371b102b,2025-05-21,Kano,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-Beb9WQDK56,Kano-WOFAN,tun04
82f3c469-f104-447b-8a3e-edaf28ee59ce,2025-06-01,Kano,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-Beb9WQDK56,Kano-WOFAN,tun04
e168580f-8767-4752-a42c-8bc98ab3d793,2025-06-17,Kano,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-Beb9WQDK56,Kano-WOFAN,tun04
90b1cd82-51f6-4f17-ac29-458ed489558c,2025-06-20,Kano,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-Beb9WQDK56,Kano-WOFAN,tun04
94b428dd-3406-45c3-a418-f8195d665f37,2025-05-15,Kano,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-BebP078I24,Kano-WOFAN,tun08
fb6600c8-e4a0-45d3-afeb-4d4fe01f702e,2025-05-20,Kano,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-BebP078I24,Kano-WOFAN,tun08
3e7dd873-0cf5-438a-8e6b-fae9a28262ce,2025-06-01,Kano,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-BebP078I24,Kano-WOFAN,tun08
0dca498b-a068-4f55-b3d3-6d71b3822be3,2025-06-20,Kano,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-BebP078I24,Kano-WOFAN,tun08
fffa68de-373a-4c9c-80bf-faf4cc1eba8c,2025-06-25,Kano,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-BebP078I24,Kano-WOFAN,tun08
