number,formid,X1  Date of visit,A1  Crop Harvest | Groundnut,A1  Crop Harvest | Maize,A1  Crop Harvest | Rice,A1  Crop Harvest | Sorghum,A1  Crop Harvest | extra,A2  Crop Variety harvested,A3  Planting Date,A4  Farming Method | Rain-fed,A4  Farming Method | Irrigated,A4  Farming Method | extra,A5  Seed Source | ICON2_Project,A5  Seed Source | Market,A5  Seed Source | Government,A5  Seed Source | Own_Saved_Seed,A5  Seed Source | extra,B1  Date,B2  Total land size planted (ha),B3  What size of the ____ planted hectares did you harvest,B4  Moisture Content (%),B4 1  What is the size of the farmland where the Groundnut was cultivated?,B4 2  What Quantity (in bags) of Groundnut was harvested from the farm,B5 1  What is the size of the farmland where the Maize was cultivated?,B5 2  What Quantity (in bags) of Maize was harvested from the farm,B6 1  What is the size of the farmland where the Rice was cultivated?,B6 2  What Quantity (in bags) of Rice was harvested from the farm,B7 1  What is the size of the farmland where the Sorghum was cultivated?,B7 2  What Quantity (in bags) of Sorghum was harvested from the farm,B8  Is there any Post harvest lost? if Yes which crop? | None,B8  Is there any Post harvest lost? if Yes which crop? | Groundnut,B8  Is there any Post harvest lost? if Yes which crop? | Maize,B8  Is there any Post harvest lost? if Yes which crop? | Rice,B8  Is there any Post harvest lost? if Yes which crop? | Sorghum,B8  Is there any Post harvest lost? if Yes which crop? | extra,B10 1  What Quantity (in bags) of Groundnut was lost,B10 2  What Quantity (in bags) of Maize was lost,B10 3  What Quantity (in bags) of Rice was lost,B10 4  What Quantity (in bags) of Sorghum was lost,B11  What is the cause of the post-harvest loss reported | Environmental_Factors,B11  What is the cause of the post-harvest loss reported | Mechanical_Factors,B11  What is the cause of the post-harvest loss reported | Biological_Factors,B11  What is the cause of the post-harvest loss reported | Technological_Factors,B11  What is the cause of the post-harvest loss reported | Economic_Factors,B11  What is the cause of the post-harvest loss reported | Institutional_Factors,B11  What is the cause of the post-harvest loss reported | Cultural_and_Social_Factors,B11  What is the cause of the post-harvest loss reported | Pests,B11  What is the cause of the post-harvest loss reported | Mold,B11  What is the cause of the post-harvest loss reported | Transport_Damage,B11  What is the cause of the post-harvest loss reported | Theft,B11  What is the cause of the post-harvest loss reported | Poor_Drying,B11  What is the cause of the post-harvest loss reported | Others,B11  What is the cause of the post-harvest loss reported | extra,C1  Method of Harvesting | Manual,C1  Method of Harvesting | Mechanized,C1  Method of Harvesting | extra,C2  Method of Drying | Sun_drying,C2  Method of Drying | Mechanical_dryer,C2  Method of Drying | extra,C3  Storage Method | Bags,C3  Storage Method | Silos,C3  Storage Method | Cribs,C3  Storage Method | Others,C3  Storage Method | extra,10  Next steps/Extension Worker comment,11  Record GPS coordinates of where this record is taken (Farm or Store): latitude (degrees),11  Record GPS coordinates of where this record is taken (Farm or Store): longitude (degrees),11  Record GPS coordinates of where this record is taken (Farm or Store): altitude (meters),11  Record GPS coordinates of where this record is taken (Farm or Store): accuracy (meters),form/Pulled_Cluster_data/Cluster_Unique_ID,form/Pulled_Cluster_data/Name_of_Cluster,form/Pulled_Cluster_data/Cluster_main_location_of_Operation_State,form/Pulled_Cluster_data/Cluster_main_location_of_Operation_LGA,form/Pulled_Cluster_data/Cluster_main_location_of_Operation_Ward,form/Pulled_Cluster_data/Nature_ofCluster_members,form/Pulled_Cluster_data/State-IP,form/section_b_harvest_details/Quantities_of_Harvested_Crops/Qty_of_Groundnut_harvested_in_Kg,form/section_b_harvest_details/Quantities_of_Harvested_Crops/Yield_per_hectare_Groundnut_harvested_in_Kg,form/section_b_harvest_details/Quantities_of_Harvested_Crops/Qty_of_Maize_harvested_in_Kg,form/section_b_harvest_details/Quantities_of_Harvested_Crops/Yield_Per_hectare_Maize_harvested_in_Kg,form/section_b_harvest_details/Quantities_of_Harvested_Crops/Qty_of_Rice_harvested_in_Kg,form/section_b_harvest_details/Quantities_of_Harvested_Crops/Yield_Per_hectare_Rice_harvested_in_Kg,form/section_b_harvest_details/Quantities_of_Harvested_Crops/Qty_of_Sorghum_harvested_in_Kg,form/section_b_harvest_details/Quantities_of_Harvested_Crops/Yield_per_hectare_Sorghum_harvested_in_Kg,form/section_b_harvest_details/Quantities_of_Harvested_Crops/Total_Qty_of_all_crops_Harvested_in_bags,form/section_b_harvest_details/Quantities_of_Harvested_Crops/Total_Qty_of_all_crops_Harvested_in_Kg,form/section_b_harvest_details/Quantities_of_Crops_lost/Qty_of_Groundnut_lost_in_Kg,form/section_b_harvest_details/Quantities_of_Crops_lost/Qty_of_Maize_lost_in_Kg,form/section_b_harvest_details/Quantities_of_Crops_lost/Qty_of_Rice_lost_in_Kg,form/section_b_harvest_details/Quantities_of_Crops_lost/Qty_of_Sorghum_lost_in_Kg,form/section_b_harvest_details/Quantities_of_Crops_lost/Total_Qty_of_all_crops_lost_in_bags,form/section_b_harvest_details/Quantities_of_Crops_lost/Total_Qty_of_all_crops_lost_in_Kg,form/Number_of_cooperative_members,form case case_id,username,received_on
6ec68f8e-6af9-4dc6-af07-207e15d76965,6ec68f8e-6af9-4dc6-af07-207e15d76965,2025-10-21,,,1,,,Faro 67,2025-10-21,1,,,1,,,,,2025-10-21,2,2,20,---,---,---,---,2.0,80.0,---,---,1,,,,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1,,,1,,,1,,,,,"Rice was harvested at the right time for best yield and quality, 80–85% of the grains are mature and straw turns yellow. Delays were prevented to avoid shattering and grain loss. Thresh, and dry grains were carefully handled to maintain quality and reduce post-harvest losses.",11.1577419,8.232352,648.1,2.5,CT-IkaFJAXA43,MATA MASU BUKATA JAMFALAN CLUSTER,Kaduna,Ikara,,Production/Processing,Kaduna-WOFAN,0,0,0,0,6000,3000,0,0,80,6000,0,0,0,0,0,0,0,4ff732f3-23d5-4023-9440-bc17ce40a774,ika23,21/10/2025 16:30
ad2ad36a-df3e-4f07-a0e1-ea3b3f088b58,ad2ad36a-df3e-4f07-a0e1-ea3b3f088b58,2025-10-21,,1,,,,Sama 50,2025-10-21,1,,,1,,,,,2025-10-21,2,2,20,---,---,2.0,100.0,---,---,---,---,1,,,,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1,,,1,,,1,,,,,successful,11.1571953,8.2341925,710.27,1.52,CT-IkaGIQH525,Ikara Masu Bukata Tamusamman Cluster,Kaduna,Ikara,,Production/Processing,Kaduna-WOFAN,0,0,10000,5000,0,0,0,0,100,10000,0,0,0,0,0,0,0,8f39aaf1-bef6-4487-a635-f021e5047da0,ika26,21/10/2025 16:49
e98f7a22-c019-480a-b969-6fcbf96ab1b3,e98f7a22-c019-480a-b969-6fcbf96ab1b3,2025-10-21,,,1,,,Faro 67,2025-10-21,1,,,1,,,,,2025-10-21,2,2,20,---,---,---,---,2.0,80.0,---,---,1,,,,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1,,,1,,,1,,,,,good,11.158331,8.2318215,639.68,2.53,CT-Ika45T6546,Gidan Shawai Jamfalan Cluster,Kaduna,Ikara,,Production/Processing,Kaduna-WOFAN,0,0,0,0,6000,3000,0,0,80,6000,0,0,0,0,0,0,0,b2c9bb1f-3f4e-4a0e-8977-00235b3e754e,ika33,21/10/2025 17:00
14569b37-5bee-425f-991b-fd8f3ab6306d,14569b37-5bee-425f-991b-fd8f3ab6306d,2025-10-22,,,1,,,Paro 67,2025-07-10,1,,,1,,,,,2025-10-18,1,1,12,---,---,---,---,1.0,60.0,---,---,1,,,,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,1,,1,,,1,,,,,Good,11.1566867,8.23042,700.4,1.9,CT-Ika53U6B11,CIKIN GARIN SAYA SAYA WOMEN WITH DISABILITY GROUP,Kaduna,Ikara,,Production/Processing,Kaduna-WOFAN,0,0,0,0,4500,4500,0,0,60,4500,0,0,0,0,0,0,0,678feb51-5aaf-4bb6-84dd-be5e428c1325,ika11,22/10/2025 08:50
8ff86e6c-3052-4546-9bfd-09918539aceb,8ff86e6c-3052-4546-9bfd-09918539aceb,2025-10-22,,1,,,,Samaz 50,2025-07-03,1,,,1,,,,,2025-10-22,2,2,13,---,---,2.0,130.0,---,---,---,---,1,,,,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1,,,1,,,1,,,,,Good,11.1566735,8.230439,702.6,1.5,CT-Ika53U6B11,CIKIN GARIN SAYA SAYA WOMEN WITH DISABILITY GROUP,Kaduna,Ikara,,Production/Processing,Kaduna-WOFAN,0,0,13000,6500,0,0,0,0,130,13000,0,0,0,0,0,0,0,678feb51-5aaf-4bb6-84dd-be5e428c1325,ika11,22/10/2025 08:50
dd0cdd24-e0c3-43da-89c1-77750ba66f98,dd0cdd24-e0c3-43da-89c1-77750ba66f98,2025-10-22,,1,,,,Sama 50,2025-10-22,1,,,1,,,,,2025-10-22,1,1,20,---,---,1.0,50.0,---,---,---,---,1,,,,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1,,,1,,,1,,,,,Good,11.1578567,8.2321583,690.3,2.1,CT-IkaFJAXA43,MATA MASU BUKATA JAMFALAN CLUSTER,Kaduna,Ikara,,Production/Processing,Kaduna-WOFAN,0,0,5000,5000,0,0,0,0,50,5000,0,0,0,0,0,0,0,4ff732f3-23d5-4023-9440-bc17ce40a774,ika23,22/10/2025 09:53
80a4c69c-164e-4b08-83fc-467a823d9dbf,80a4c69c-164e-4b08-83fc-467a823d9dbf,2025-09-12,,,1,,,67,2025-07-02,1,,,1,,,,,2025-06-06,2,86,10,---,---,---,---,2.0,86.0,---,---,1,,,,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1,,,1,,,1,,,,,they have a bumper harvest or order wise,12.0911486,9.2003084,412.21,4.55,CT-Rin5608P29,KUNA DISABILITIES MULTIPURPOSE SOCIETY,Jigawa,Ringim,Female,Production,Jigawa-WOFAN,0,0,0,0,6450,3225,0,0,86,6450,0,0,0,0,0,0,0,244aa309-ac4d-49dd-ada9-6c4609ef7a7b,rin27,22/10/2025 10:31
59bb6fb3-f029-4a37-b8ee-b539a8de948f,59bb6fb3-f029-4a37-b8ee-b539a8de948f,2025-09-13,,,1,,,67,2025-07-01,1,,,1,,,,,2025-06-06,2,85,11,---,---,---,---,2.0,84.0,---,---,1,,,,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1,,,1,,,1,,,,,every good,12.0911608,9.2002809,428.19,3.91,CT-Rin1UW5254,GIDAN GARKE COOPERATIVE PEOPLE WITH DISABILITIES,Jigawa,Ringim,Female,Production,Jigawa-WOFAN,0,0,0,0,6300,3150,0,0,84,6300,0,0,0,0,0,0,0,ed87f3db-abfa-485b-8b0f-873a4254792e,rin27,22/10/2025 10:31
330f04fc-8787-4661-8d3d-d45e0809abc1,330f04fc-8787-4661-8d3d-d45e0809abc1,2025-09-25,,,1,,,Rice,2025-10-10,1,,,1,,,,,2025-10-25,2,2,10,---,---,---,---,2.0,100.0,---,---,1,,,,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,1,,1,,,1,,,,,Goodwork,11.7063538,8.3614742,519.35,1.75,CT-Gar4GKYF57,Garun Babba Disabled cluster B,Kano,Garum_Mallam,,Production,Kano-WOFAN,0,0,0,0,7500,3750,0,0,100,7500,0,0,0,0,0,0,0,1ec2467d-4b4f-4da3-9885-a48328b4db96,gmm53,22/10/2025 12:21
96053569-ba4d-473c-9c88-a1a15e3c2f57,96053569-ba4d-473c-9c88-a1a15e3c2f57,2025-08-21,,1,,,,Maize,2025-09-10,1,,,1,,,,,2025-09-10,2,2,10,---,---,1.0,60.0,---,---,---,---,1,,,,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1,,,1,,,1,,,,,Goodwork,11.7085252,8.3623884,488.62,2.44,CT-Gar4GKYF57,Garun Babba Disabled cluster B,Kano,Garum_Mallam,,Production,Kano-WOFAN,0,0,6000,6000,0,0,0,0,60,6000,0,0,0,0,0,0,0,1ec2467d-4b4f-4da3-9885-a48328b4db96,gmm53,22/10/2025 12:22
