formid,7  Crop(s) planted | None,7  Crop(s) planted | Groundnut,7  Crop(s) planted | Maize,7  Crop(s) planted | Rice,7  Crop(s) planted | Sorghum,7  Crop(s) planted | extra,8  Farm-related problem reported by the farmer | None,8  Farm-related problem reported by the farmer | Disease_outbreak_(Specify),8  Farm-related problem reported by the farmer | Pest_Attack_(Specify),8  Farm-related problem reported by the farmer | Soil_degradation,8  Farm-related problem reported by the farmer | Water_Scarcity,8  Farm-related problem reported by the farmer | Weed_Infestation,8  Farm-related problem reported by the farmer | Others,8  Farm-related problem reported by the farmer | extra,Cooperative_Unique_ID,received_on,6  Ongoing farm activity at the time of visit | None,6  Ongoing farm activity at the time of visit | Site_Selection,6  Ongoing farm activity at the time of visit | Land_Measurement,6  Ongoing farm activity at the time of visit | Land_Clearing,6  Ongoing farm activity at the time of visit | First_herbicide_application,6  Ongoing farm activity at the time of visit | Ploughing_Harrowing_Tilling,6  Ongoing farm activity at the time of visit | Preparation_of_Nursery_,6  Ongoing farm activity at the time of visit | Planting,6  Ongoing farm activity at the time of visit | Transplanting,6  Ongoing farm activity at the time of visit | Gap_control_(Replacement_of_un-germinated_plants),6  Ongoing farm activity at the time of visit | Mulching,6  Ongoing farm activity at the time of visit | Post-Emergence_Herbicide_Application_or_Manual_weeding_1,6  Ongoing farm activity at the time of visit | NPK_Application,6  Ongoing farm activity at the time of visit | Application_of_Aflasafe,6  Ongoing farm activity at the time of visit | Application_of_Pesticide,6  Ongoing farm activity at the time of visit | Post-Emergence_Herbicide_Application_or_Manual_weeding_2,6  Ongoing farm activity at the time of visit | Urea_Application,6  Ongoing farm activity at the time of visit | SSP_Application,6  Ongoing farm activity at the time of visit | Post-Emergence_Herbicide_Application_or_Manual_weeding_3,6  Ongoing farm activity at the time of visit | Harvesting,6  Ongoing farm activity at the time of visit | Drying_(To_eradicate_moisture),6  Ongoing farm activity at the time of visit | Winnowing,6  Ongoing farm activity at the time of visit | Bagging,6  Ongoing farm activity at the time of visit | Storage,6  Ongoing farm activity at the time of visit | extra
607030f7-6059-4186-a6d9-2e45ec6e2569,1,,,,,,1,,,,,,,,ChiVHBQ05,13/06/2025 12:57,,1,,,,,,,,,,,,,,,,,,,,,,,
ac7fa616-272e-4ada-ace6-bedb23bca79d,1,,,,,,1,,,,,,,,ChiVHBQ05,13/06/2025 13:00,,,,1,,,,,,,,,,,,,,,,,,,,,
7629f082-f096-4aaf-a4e4-6e882b873dfe,1,,,,,,1,,,,,,,,ChiVHBQ05,13/06/2025 13:02,,,,,1,,,,,,,,,,,,,,,,,,,,
61a80fdd-bac2-4d26-95fc-9dc67d3b0f2a,1,,,,,,1,,,,,,,,ChiVHBQ05,13/06/2025 13:04,,,,,,1,,,,,,,,,,,,,,,,,,,
f4ad6dec-783c-435a-ab40-2e6db784061a,,,1,,,,1,,,,,,,,ChiVHBQ05,13/06/2025 13:06,,,,,,,,1,,,,,,,,,,,,,,,,,
e81644bd-1e69-496b-8ec1-0479b322b8d4,1,,,,,,,,,,,1,,,Jab26HD09,14/06/2025 18:01,,,,1,,,,,,,,,,,,,,,,,,,,,
28950d9d-7796-4993-9f2d-0e40c1e37c50,1,,,,,,1,,,,,,,,Jab26HD09,14/06/2025 18:05,,,,,,1,,,,,,,,,,,,,,,,,,,
b5b4e22a-a030-45b9-9963-e19dca077517,,,1,,,,1,,,,,,,,Jab26HD09,14/06/2025 18:07,,,,,,,,1,,,,,,,,,,,,,,,,,
9744b336-0992-43ff-9b7e-31f98ab40530,1,,,,,,1,,,,,,,,Jab26HD09,14/06/2025 18:11,,,,,1,,,,,,,,,,,,,,,,,,,,
665d0feb-8965-4051-b8d3-7e676021c22f,1,,,,,,,,,,,1,,,JabN5E335,14/06/2025 18:14,,,,1,,,,,,,,,,,,,,,,,,,,,
6fd11ef6-4b28-44a5-aa89-e0fc7c766221,1,,,,,,1,,,,,,,,JabN5E335,14/06/2025 18:16,,,,,,1,,,,,,,,,,,,,,,,,,,
72bcb640-65eb-4c61-b924-656d4d14a5b5,,,1,,,,1,,,,,,,,JabN5E335,14/06/2025 18:18,,,,,,,,1,,,,,,,,,,,,,,,,,
69d52bc0-a081-4020-b108-ec5c8ee12e81,,,1,,,,1,,,,,,,,JabN5E335,14/06/2025 18:21,,,,,1,,,,,,,,,,,,,,,,,,,,
