formid,1  Which of these products did the Community Partner receive?,3  How many bags of ____ did the Community Partner receive?,4  Which other item did they receive? | Food_Flasks,4  Which other item did they receive? | Plastic_containers_for_food,4  Which other item did they receive? | Mobile_work_station,4  Which other item did they receive? | Umbrella,4  Which other item did they receive? | None,4  Which other item did they receive? | extra,5 1  What Quantity of Food flask (Thermocool) did the community Partner Receive?,5 2  What Quantity of Plastic containers did the community Partner Receive?,5 3  What Quantity of Mobile work station did the community Partner Receive?,5 4  What Quantity of Umbrella did the community Partner Receive?,form/Case_Data/Coop_ID,form/Case_Data/State,received_on,form case case_id
ebe72bae-415a-4d08-8bd6-ebd1cbc9fed3,Rice,6.0,,,,1,,,---,---,---,---,GanBIOQ24,Bauchi,17/04/2025 10:54,37a66280-8dcc-4dda-ad0b-7ccde2206341
6021a502-eded-4094-8ad3-13b07cec54c4,Beans,22.0,,1,,,,,---,---,---,---,Beb41N327,Kano,17/04/2025 10:55,ade351c7-bbf0-4181-a511-7afa47bd2a7a
29aed2d4-9c55-46d3-a6be-ec1bfb45ddcc,Soya_Bean,10.0,,,,,1,,---,---,---,---,RimUDAX10,Kano,17/04/2025 11:01,bf51d290-e45d-4363-b158-495cc7a0d6bb
caf20a3b-6ad5-4888-a5c2-117b074c8dea,Rice,6.0,,,,1,,,---,---,---,---,Bau09NY31,Bauchi,17/04/2025 11:02,368efb42-7456-47ef-b372-217c8ee5c3e3
4dd699f3-52e2-4125-b513-d66d494185d8,Rice,6.0,1,,,,,,---,---,---,---,BauEUZT23,Bauchi,17/04/2025 11:02,8968cf73-6597-4b30-a2a7-25dd1e026f1c
62cb70a3-5608-4acd-b6c3-3d9d6e3ec96a,Rice,6.0,1,,,,,,---,---,---,---,AlkEGJD14,Bauchi,17/04/2025 11:05,a59536fd-801f-420b-aafa-8111d3d444fb
cc57c08f-ef80-47fc-8658-e6ad3e8367a8,Rice,6.0,1,,,,,,---,---,---,---,GanQ5CA12,Bauchi,17/04/2025 11:05,f071e825-e8cd-40c1-a43d-f93a42428add
36ec38c2-9744-4426-a608-b96a0dddfdbe,Rice,5.0,,,,,1,,---,---,---,---,Bau2SNW22,Bauchi,17/04/2025 11:07,fa403a4c-8b4e-4573-9839-5a874fe19019
dfff591b-83af-44f0-9f58-71c568938d52,Rice,6.0,1,,,,,,---,---,---,---,Gom1VAP59,Gombe,17/04/2025 11:08,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
c668c326-65f4-42ee-9d43-1bfe8ff656b1,Rice,6.0,1,,,,,,---,---,---,---,Gom1VAP59,Gombe,17/04/2025 11:09,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
