form/generatedCommPartnerUniqueid,validation,State-IP
P-KabFYR1R655,Keep,Kano-WOFAN
P-KabSMRTA648,Keep,Kano-WOFAN
P-KabLZWBYS42,Keep,Kano-WOFAN
P-KabGMA4BD37,Keep,Kano-WOFAN
P-Kab7Q0IY251,Keep,Kano-WOFAN
P-KabUOVFHB21,Keep,Kano-WOFAN
P-KabN4ZL5923,Keep,Kano-WOFAN
P-KabT8GWTO52,Keep,Kano-WOFAN
P-KabGAYLKI27,Keep,Kano-WOFAN
P-KabB39L4333,Keep,Kano-WOFAN
P-KabBZJD0U17,Keep,Kano-WOFAN
P-KabK41O1C48,Keep,Kano-WOFAN
P-KabXQQNY837,Keep,Kano-WOFAN
P-KabZAP09V29,Keep,Kano-WOFAN
P-KabBQFLQL42,Keep,Kano-WOFAN
P-KabL6WM5N22,Keep,Kano-WOFAN
P-KabIROV3842,Keep,Kano-WOFAN
P-KabJBXDKB08,Keep,Kano-WOFAN
P-KabHH20H812,Keep,Kano-WOFAN
P-Kab10K5IK20,Keep,Kano-WOFAN
P-KabJZCA8W58,Keep,Kano-WOFAN
P-KabC9MFLV08,Keep,Kano-WOFAN
P-KabEDK89749,Keep,Kano-WOFAN
P-Kab3MMCSU53,Keep,Kano-WOFAN
P-KabVNX2NI31,Keep,Kano-WOFAN
P-KabITXNUS54,Keep,Kano-WOFAN
P-KabKW023020,Keep,Kano-WOFAN
P-KabBC9BWL27,Keep,Kano-WOFAN
P-Kab8FSPJT53,Keep,Kano-WOFAN
P-Kab9UES1I34,Keep,Kano-WOFAN
P-KabBPKV6O38,Keep,Kano-WOFAN
P-KabYQ8LOC54,Keep,Kano-WOFAN
P-KabCUV83Q46,Keep,Kano-WOFAN
P-KabJZW73545,Keep,Kano-WOFAN
P-Kab2NYMC554,Keep,Kano-WOFAN
P-KabGPN0BO16,Keep,Kano-WOFAN
P-KabKXWBAA45,Keep,Kano-WOFAN
P-KabJLR3HD35,Keep,Kano-WOFAN
P-KabH6P15722,Keep,Kano-WOFAN
P-KabRNHJVA58,Keep,Kano-WOFAN
P-KabWXFO9Q59,Keep,Kano-WOFAN
P-Kab3V88WF36,Keep,Kano-WOFAN
P-KabRL1Y0N43,Keep,Kano-WOFAN
P-KabYJNUTW24,Keep,Kano-WOFAN
P-Kab8P2NGS24,Keep,Kano-WOFAN
P-KabU7UG1013,Keep,Kano-WOFAN
P-KabVGN98513,Keep,Kano-WOFAN
P-KabFA9LUL27,Keep,Kano-WOFAN
P-Kab9EUEYN46,Keep,Kano-WOFAN
P-KabO6NBOP40,Keep,Kano-WOFAN
P-Kab5E3YW346,Keep,Kano-WOFAN
P-KabU70O0M36,Keep,Kano-WOFAN
P-Kab2Y9JR842,Keep,Kano-WOFAN
P-KabQCD1WF50,Keep,Kano-WOFAN
P-KabTJR07G10,Keep,Kano-WOFAN
P-KabZX9ZK920,Keep,Kano-WOFAN
P-KabNEZWGQ29,Keep,Kano-WOFAN
P-KabB0XXDF01,Keep,Kano-WOFAN
P-KabC6LKUW28,Keep,Kano-WOFAN
P-KabW8GXGP28,Keep,Kano-WOFAN
P-KabO28T2109,Keep,Kano-WOFAN
P-Kab9THUYZ20,Keep,Kano-WOFAN
P-KabZOIWFR56,Keep,Kano-WOFAN
P-Kab0727K847,Keep,Kano-WOFAN
P-KabNFYHY833,Keep,Kano-WOFAN
P-KabV5AWNV44,Keep,Kano-WOFAN
P-KabWW8VQE12,Keep,Kano-WOFAN
P-Kab06QOB337,Keep,Kano-WOFAN
P-KabWITHDG33,Keep,Kano-WOFAN
P-KabSR648H22,Keep,Kano-WOFAN
P-KabJMO65Q17,Keep,Kano-WOFAN
P-KabD0DI0O03,Keep,Kano-WOFAN
P-Kab2XLYQ147,Keep,Kano-WOFAN
P-KabI8R66H32,Keep,Kano-WOFAN
P-KabJT66YE47,Keep,Kano-WOFAN
P-KabNA1WBP44,Keep,Kano-WOFAN
P-KabFNIN0658,Keep,Kano-WOFAN
P-KabL9KZCV06,Keep,Kano-WOFAN
P-KabQB8TUD14,Keep,Kano-WOFAN
P-Kab5Y14UL16,Keep,Kano-WOFAN
P-Kab8Y8U8F10,Keep,Kano-WOFAN
P-KabV05U9S22,Keep,Kano-WOFAN
P-KabRG4GPS28,Keep,Kano-WOFAN
P-KabNVRTMK45,Keep,Kano-WOFAN
P-KabXGZBKR02,Keep,Kano-WOFAN
P-Kab90I46B39,Keep,Kano-WOFAN
P-KabGE61R637,Keep,Kano-WOFAN
P-KabEZY9YE27,Keep,Kano-WOFAN
P-Kab8SMDQD40,Keep,Kano-WOFAN
P-Kab9P2TFK04,Keep,Kano-WOFAN
P-KabODQFUQ21,Keep,Kano-WOFAN
P-KabQ7Y2IW17,Keep,Kano-WOFAN
P-KabDACJCQ05,Keep,Kano-WOFAN
P-KabGV6HUY57,Keep,Kano-WOFAN
P-KabDYEQ3249,Keep,Kano-WOFAN
P-KabLMQPYP02,Keep,Kano-WOFAN
P-KabTTBF1054,Keep,Kano-WOFAN
P-KabRHGTLJ52,Keep,Kano-WOFAN
P-Kab5ON5RZ42,Keep,Kano-WOFAN
P-Kab9MVUEI59,Keep,Kano-WOFAN
P-Kab4XFFLX59,Keep,Kano-WOFAN
P-Kab4D1GV014,Keep,Kano-WOFAN
P-KabV6TVY903,Keep,Kano-WOFAN
P-KabKFKOYR27,Keep,Kano-WOFAN
P-KabN23BUK07,Keep,Kano-WOFAN
P-KabJLP90U43,Keep,Kano-WOFAN
P-KabW6CM3724,Keep,Kano-WOFAN
P-KabZT4THP15,Keep,Kano-WOFAN
