State-IP,TargetCommPartnerPerState,PWDCooperativesPerState,LSPCooperativesPerState,MPMCooperativesPerState,TotalCooperativesPerState
Adamawa-Farm Innovation,17250,50,100,"1,200","1,350"
Bauchi-WOFAN,42000,100,100,"1,200","1,400"
Benue-PVNL,17250,250,400,"2,400","3,050"
FCT-WOFAN,17250,450,800,"4,500","5,750"
Gombe-WOFAN,42000,100,100,"1,200","1,400"
Jigawa-WOFAN,91500,25,50,500,575
Kaduna 1-PVNL,17250,25,50,500,575
Kaduna 2-PVNL,17250,25,50,500,575
Kaduna-WOFAN,40500,25,50,500,575
Kano-WOFAN,172500,25,50,500,575
Nasarawa-PVNL,17250,25,50,500,575
Total,492000,"1,100","1,800","13,500","16,400"
